Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
American Gold Eagle Proof 1/2 oz $25 - Coin in Capsule - Random Date,305705374463,"Apr 4, 2026","$2,477.08",$0.00,,,Fixed price,https://www.ebay.com/itm/305705374463
1/2 oz American Gold Eagle $25 Coin (Random Year),395094778663,"Apr 3, 2026","$2,615.56",$0.00,,,Fixed price,https://www.ebay.com/itm/395094778663
1/2 oz American Gold Eagle Coin BU - Random Year - $25 US Gold,297174346398,"Apr 2, 2026","$2,539.26",$0.00,,,Fixed price,https://www.ebay.com/itm/297174346398
1/2 oz American Gold Eagle Coin BU (Random Year),116740742791,"Apr 4, 2026","$2,562.79",$0.00,,,Fixed price,https://www.ebay.com/itm/116740742791
2026 $25 American Gold Eagle 1/2 oz Brilliant Uncirculated,205844257922,"Apr 2, 2026","$2,516.50",$0.00,,,Fixed price,https://www.ebay.com/itm/205844257922
American Gold Eagle Coin Proof 1/2 oz $25 - PCGS PR70 Random Date and Label,306379814263,"Mar 26, 2026","$2,502.62",$0.00,,,Fixed price,https://www.ebay.com/itm/306379814263
American Gold Eagle (1/2 oz) $25 - BU - Random Date,302304568623,"Apr 3, 2026","$2,512.75",$0.00,,,Fixed price,https://www.ebay.com/itm/302304568623
American Gold Eagle Coin Proof 1/2 oz $25 - NGC PF70 Random Date and Label,306302894508,"Apr 2, 2026","$2,505.08",$0.00,,,Fixed price,https://www.ebay.com/itm/306302894508
1986 1/2 oz American Gold Eagle BU (MCMLXXXVI),121832138047,"Apr 6, 2026","$2,632.98",$0.00,,,Fixed price,https://www.ebay.com/itm/121832138047
1/2 oz American Gold Eagle $25 Coin (Random Year),396053483765,"Apr 3, 2026","$2,714.31",$0.00,,,Fixed price,https://www.ebay.com/itm/396053483765
Random Date 1986-2026 $25 American Gold Eagle - 1/2 Oz. Gold - U.S. Gold Coin,137016716486,"Apr 6, 2026","$2,605.07",$0.00,,,Fixed price,https://www.ebay.com/itm/137016716486
Random Year $25 1/2 oz Proof American Gold Eagle in Capsule Coin,297127700286,"Apr 1, 2026","$2,533.32",$0.00,,,Fixed price,https://www.ebay.com/itm/297127700286
$25 American Gold Eagle 1/2 oz Random Year Brilliant Uncirculated,317048782175,"Mar 23, 2026","$2,565.62",$0.00,,,Fixed price,https://www.ebay.com/itm/317048782175
American Gold Eagle 1/2 oz $25 - NGC MS70 Random Date and Label,405103826473,"Mar 31, 2026","$2,519.14",$0.00,,,Fixed price,https://www.ebay.com/itm/405103826473
2026 American Gold Eagle 1/2 oz $25 - BU,376864531073,"Mar 19, 2026","$2,723.59",$0.00,,,Fixed price,https://www.ebay.com/itm/376864531073
American Gold Eagle 1/2 oz $25 - NGC MS69 Random Date and Label,305477955494,"Apr 5, 2026","$2,611.75",$0.00,,,Fixed price,https://www.ebay.com/itm/305477955494
American Gold Eagle 1/2 oz $25 - PCGS MS69 Random Date and Label,404887945086,"Mar 24, 2026","$2,504.82",$0.00,,,Fixed price,https://www.ebay.com/itm/404887945086
2025 American 1 OZ Silver Eagle Coin BLACK RUTHENIUM w/ 24K Gold Detail - TYPE 2,234123063244,"Apr 5, 2026",$179.95,$39.95,,,Fixed price,https://www.ebay.com/itm/234123063244
2026 W AMERICAN EAGLE ONE-HALF OUNCE GOLD PROOF LIBERTY BELL PRIVY DUAL DATE!!!,188161808706,"Mar 31, 2026","$3,399.49",$0.00,,,Fixed price,https://www.ebay.com/itm/188161808706
$25 American Gold Eagle 1/2 oz Random Year Impaired,205608903318,"Mar 9, 2026","$2,710.12",$0.00,,,Fixed price,https://www.ebay.com/itm/205608903318
2021 $25 Type 2 American Gold Eagle 1/2 oz Brilliant Uncirculated,313603218840,"Mar 31, 2026","$2,513.05",$0.00,,,Fixed price,https://www.ebay.com/itm/313603218840
American Gold Eagle 1/2 oz $25 - PCGS MS70 Random Date and Label,375336158616,"Mar 28, 2026","$2,481.89",$0.00,,,Fixed price,https://www.ebay.com/itm/375336158616
1/2 oz $25 American Gold Eagle Coin Bezel 27mm Screw Top 10k Yellow Gold,137062455774,"Mar 31, 2026",$333.49,$0.00,,,Fixed price,https://www.ebay.com/itm/137062455774
Pre 2026 W Gold Eagle One-Tenth Ounce PCGS PR70DCAM First Strike W/OGP #2,137107581249,"Mar 27, 2026",$907.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137107581249
2007 1/2 oz American Gold Eagle MS-70 NGC,145641370479,"Mar 21, 2026","$2,553.79",$0.00,,,Fixed price,https://www.ebay.com/itm/145641370479
2026 $25 1/2-oz American Gold Eagle Brilliant Uncirculated,146970072499,"Apr 2, 2026","$2,605.68",$0.00,,,Fixed price,https://www.ebay.com/itm/146970072499
2026 1/2 oz American Gold Eagle MS-70 PCGS (FirstStrike®),147082490266,"Mar 27, 2026","$2,594.19",$0.00,,,Fixed price,https://www.ebay.com/itm/147082490266
2025 1/2 oz American Gold Eagle $25 Coin (BU),176720614393,"Mar 15, 2026","$2,795.43",$0.00,,,Fixed price,https://www.ebay.com/itm/176720614393
2026 $25 American Gold Eagle 1/2 oz PCGS MS70 FS Flag Label,177706423967,"Apr 4, 2026","$2,663.60",$0.00,,,Fixed price,https://www.ebay.com/itm/177706423967
"1/10, 1/4, 1/2 & 1 OZ - US MINT GOLD/PLATINUM AMERICAN EAGLE & BUFFALO COIN CAPS",205696328520,"Mar 26, 2026",$17.04,$0.00,,,Fixed price,https://www.ebay.com/itm/205696328520
2023 - 1/2 Ounce .999 Gold American Eagle - 24k Fine (BU) Glided Repro Coin,236673310796,"Mar 27, 2026",$28.52,$0.00,,,Fixed price,https://www.ebay.com/itm/236673310796
2024 $25 American Gold Eagle 1/2 oz Brilliant Uncirculated,315092536467,"Mar 31, 2026","$2,523.67",$0.00,,,Fixed price,https://www.ebay.com/itm/315092536467
5 Lighthouse EVERSLAB 27mm Graded Coin Slabs 1/2 oz Gold American Eagle Holders,360902046617,"Mar 18, 2026",$14.12,$0.00,,,Fixed price,https://www.ebay.com/itm/360902046617
2026 1/2 oz American Gold Eagle Coin PCGS MS70 FS,397468241500,"Apr 1, 2026","$2,789.46",$0.00,,,Fixed price,https://www.ebay.com/itm/397468241500
American Gold Eagle Proof 1/2 oz $25 - Coin in OGP - Random Date,405824564104,"Mar 7, 2026","$2,756.75",$0.00,,,Fixed price,https://www.ebay.com/itm/405824564104
2021 1 oz American Gold Eagle (Type 2) MS-70 PCGS (FDI),114824983922,"Mar 8, 2026","$5,644.62",$0.00,,,Fixed price,https://www.ebay.com/itm/114824983922
1986 1/2 oz American Gold Eagle MS-69 NGC,115682166734,"Mar 24, 2026","$2,513.20",$0.00,,,Fixed price,https://www.ebay.com/itm/115682166734
2012 1/2 oz American Gold Eagle MS-70 NGC,115792759783,"Mar 23, 2026","$2,567.19",$0.00,,,Fixed price,https://www.ebay.com/itm/115792759783
"2026 1/2 oz American Gold Eagle MS-70 PCGS (FDI, Black Label)",116973302520,"Mar 9, 2026","$2,893.01",$0.00,,,Fixed price,https://www.ebay.com/itm/116973302520
"2026 1/2 oz American Gold Eagle MS-70 PCGS (FS®, Black Label)",116973302535,"Apr 4, 2026","$2,639.54",$0.00,,,Fixed price,https://www.ebay.com/itm/116973302535
14K Solid Gold Bezel for 1/2 Oz. American Eagle $25 Gold Bullion Coin! 3.6 Grams,117036491038,"Mar 9, 2026",$495.00,$12.65,,,Fixed price,https://www.ebay.com/itm/117036491038
1776-2026 W $25 Gold Eagle FDI (PF 70-UCAM),117114870760,"Apr 5, 2026","$4,301.00",$0.00,,,Auction,https://www.ebay.com/itm/117114870760
1998 1/2 oz American Gold Eagle BU,122771613693,"Mar 29, 2026","$2,549.81",$0.00,,,Fixed price,https://www.ebay.com/itm/122771613693
2000 1/2 oz American Gold Eagle BU,122771700905,"Mar 23, 2026","$2,520.30",$0.00,,,Fixed price,https://www.ebay.com/itm/122771700905
"Guardhouse Half 1/2 Oz Gold American Eagle Direct Fit Capsules,10 per Box",125107016387,"Mar 27, 2026",$10.34,$0.00,,,Fixed price,https://www.ebay.com/itm/125107016387
2023 1/10 oz American Gold Eagle Coin BU,125672534568,"Mar 10, 2026",$642.49,$0.00,,,Fixed price,https://www.ebay.com/itm/125672534568
2006-W 1/2 oz Burnished American Gold Eagle MS-70 NGC,126407604250,"Mar 25, 2026","$2,585.55",$0.00,,,Fixed price,https://www.ebay.com/itm/126407604250
2005-W $25 American Gold Eagle Mercanti 1/2 Oz Gold PF70 UCAM NGC *5449,126936202537,"Apr 3, 2026","$2,685.00",$0.00,,,Fixed price,https://www.ebay.com/itm/126936202537
"1/2 oz American Gold Eagle MS70 (Random Year, Varied Label, PCGS/NGC)",176136111469,"Jan 31, 2026","$2,304.00",$0.00,,,Fixed price,https://www.ebay.com/itm/176136111469,28
2025 1/2 oz American Gold Eagle MS-70 PCGS,126864054522,"Nov 17, 2025","$2,306.26",$0.00,,,Fixed price,https://www.ebay.com/itm/126864054522,8
1987-P $25 American Gold Eagle - 1/2 Oz Gold PR70 DCAM ICG,127189956453,"Feb 28, 2026","$2,380.76",$0.00,,,Fixed price,https://www.ebay.com/itm/127189956453,8
Coin Bezel 1/2 oz. American Gold Eagle Reeded Edge 14K Gold Filled Soldered Bail,356661060904,"Jan 21, 2026",$38.25,$0.00,,,Fixed price,https://www.ebay.com/itm/356661060904,6
2026 Gold 1/2 oz American Eagle $25 Gold US Mint Gold Eagle .9167 Fine Coins,406602483739,"Apr 6, 2026","$2,635.00",$0.00,,,Fixed price,https://www.ebay.com/itm/406602483739,6
2021 1 oz American Gold Eagle (Type 2) MS-70 PCGS (FDI),114824983922,"Mar 8, 2026","$5,082.62",$0.00,,,Fixed price,https://www.ebay.com/itm/114824983922,5
2023 1/10 oz American Gold Eagle Coin BU,125672534568,"Mar 10, 2026",$606.99,$49.99,,,Fixed price,https://www.ebay.com/itm/125672534568,6
"Gold American Eagle US Mint Gift Case Capsule Box 1/2 oz Color - Black, No Coin",127139310910,"Apr 7, 2026",$9.40,$4.19,,,Fixed price,https://www.ebay.com/itm/127139310910,7
2021 $25 1/2-oz T2 American Gold Eagle Brilliant Uncirculated,145647086749,"Apr 2, 2026","$2,729.08",$0.00,,,Fixed price,https://www.ebay.com/itm/145647086749,5
2026 1/2 oz American Gold Eagle MS-70 PCGS (FirstStrike®),147082490266,"Apr 8, 2026","$2,753.71",$0.00,,,Fixed price,https://www.ebay.com/itm/147082490266,5
1/2 oz American Eagle $25 Gold Coin Random Year US Mint Gold Eagle 1/2 oz coin,195448946796,"Jan 27, 2026","$2,521.85",$0.00,,,Fixed price,https://www.ebay.com/itm/195448946796,5
$25 American Gold Eagle 1/2 oz Random Year Impaired,205608903318,"Mar 9, 2026","$2,565.34",$0.00,,,Fixed price,https://www.ebay.com/itm/205608903318,7
Coin Capsule for Gold 1/2 oz American Eagle Coin on Card (NEW),265508057006,"Feb 1, 2026",$2.50,$3.75,,,Fixed price,https://www.ebay.com/itm/265508057006,5
"1/2 oz Proof American Gold Eagle Coin (Random Year, Capsules Only)",395028130583,"Dec 4, 2025","$2,280.80",$0.00,,,Fixed price,https://www.ebay.com/itm/395028130583,5
"American Eagle Silver , 2021 Type 2, 1oz , showing gold,but beautiful silver",406624882051,"Feb 14, 2026",$111.01,$0.00,,,Fixed price,https://www.ebay.com/itm/406624882051,9
2021 1 oz American Gold Eagle Coin BU (Type 2),114852899482,"Feb 7, 2026","$5,134.34",$0.00,,,Fixed price,https://www.ebay.com/itm/114852899482,4
1986 1/2 oz American Gold Eagle MS-69 NGC,115682166734,"Mar 24, 2026","$2,664.42",$0.00,,,Fixed price,https://www.ebay.com/itm/115682166734,4
1 oz American Gold Eagle $50 Coin BU - Random Year US Mint - Lot of 2,124403613353,"Feb 16, 2026","$9,443.88",$0.00,,,Fixed price,https://www.ebay.com/itm/124403613353,4
1-Genuine Air Tite 27mm Black Ring 1/2 Half Oz Gold American Eagle Coin Capsule,127290897070,"Feb 7, 2026",$6.80,$0.00,,,Fixed price,https://www.ebay.com/itm/127290897070,4
1995-W $25 American Gold Eagle - 1/2 Oz Gold PR70 DCAM ICG,127476873009,"Jan 28, 2026","$2,512.50",$0.00,,,Fixed price,https://www.ebay.com/itm/127476873009,4
2025 $25 1/2-oz American Gold Eagle BU,135405135273,"Jan 2, 2026","$2,238.60",$0.00,,,Fixed price,https://www.ebay.com/itm/135405135273,4
2025 $25 American Gold Eagle 1/2 oz PCGS MS70 FS Flag Label,205135023088,"Jan 2, 2026","$2,574.68",$0.00,,,Fixed price,https://www.ebay.com/itm/205135023088,6
2021-W Burnished $50 Type 2 American Gold Eagle 1 oz OGP Box &amp; COA,205617256405,"Oct 22, 2025","$4,402.10",$0.00,,,Fixed price,https://www.ebay.com/itm/205617256405,4
"1/10, 1/4, 1/2 & 1 OZ - US MINT GOLD/PLATINUM AMERICAN EAGLE & BUFFALO COIN CAPS",205696328520,"Mar 26, 2026",$17.21,$0.00,,,Fixed price,https://www.ebay.com/itm/205696328520,5
2024 American 1 OZ Silver Eagle Coin 24K GOLD w/ BLACK RUTHENIUM Detail - TYPE 2,234123059368,"Feb 25, 2026",$161.28,$40.95,,,Fixed price,https://www.ebay.com/itm/234123059368,6
2025 Genuine 24K GOLD Plated 1 OZ .999 Fine Silver American Eagle US Coin TYPE 2,234392851643,"Jan 24, 2026",$131.95,$0.00,,,Fixed price,https://www.ebay.com/itm/234392851643,4
2023 American .999 Silver Eagle 1 OZ Coin SELECT 24KT GOLD Gilded 2-Sided TYPE 2,312444593232,"Feb 9, 2026",$124.95,$20.85,,,Fixed price,https://www.ebay.com/itm/312444593232,8
🔥 **Set of 2** American Eagle Flag Gold Coins 🇺🇸 .9999 Fine 24k Bullion,358103779562,"Feb 14, 2026",$200.98,$0.00,,,Fixed price,https://www.ebay.com/itm/358103779562,5
2025 PCGS MS70 $1 & $5 Gold/Silver American Eagle 2 - Coin Set - David Hall,376870779838,"Jan 19, 2026",$723.75,$0.00,,,Fixed price,https://www.ebay.com/itm/376870779838,4
1 Pack 27mm Slab Coin Snap Holder 1/2 Oz American Eagle UK Britannia Gold Panda,406491815425,"Feb 5, 2026",$1.75,$2.95,,,Fixed price,https://www.ebay.com/itm/406491815425,10
2021 1/2 oz American Gold Eagle Coin BU (Type 2),114879505297,"Feb 4, 2026","$2,619.19",$0.00,,,Fixed price,https://www.ebay.com/itm/114879505297,3
2023 1/2 oz American Gold Eagle Coin BU,115667874997,"Dec 4, 2025","$2,316.73",$0.00,,,Fixed price,https://www.ebay.com/itm/115667874997,3
"2026 1/2 oz American Gold Eagle MS-70 PCGS (FDI, Black Label)",116973302520,"Mar 9, 2026","$2,908.28",$0.00,,,Fixed price,https://www.ebay.com/itm/116973302520,3
1/2 oz $25 American Gold Eagle Coin Bezel 27mm Screw Top 10k Yellow Gold,137062455774,"Mar 31, 2026",$331.99,$0.00,,,Fixed price,https://www.ebay.com/itm/137062455774,3
2026 W Gold Eagle One-Tenth Ounce PCGS PR70DCAM First Strike W/OGP #2,137107581249,"Apr 9, 2026",$916.29,$0.00,,,Fixed price,https://www.ebay.com/itm/137107581249,3
2007 1/2 oz American Gold Eagle MS-70 NGC,145641370479,"Apr 11, 2026","$2,594.52",$0.00,,,Fixed price,https://www.ebay.com/itm/145641370479,3
2024 1/2 oz American Gold Eagle MS-70 PCGS (FirstStrike®),146932063471,"Dec 28, 2025","$2,424.21",$0.00,,,Fixed price,https://www.ebay.com/itm/146932063471,3
2021 W $5 1/10 Oz GOLD AMERICAN EAGLE PROOF COIN Type 2 NGC PF70 Ultra Cameo,167523230438,"Mar 10, 2026",$578.32,$5.00,,,Fixed price,https://www.ebay.com/itm/167523230438,3
2023 $25 American Gold Eagle 1/2 oz NGC MS69 Brown Label,176215436322,"Dec 11, 2025","$2,301.29",$0.00,,,Fixed price,https://www.ebay.com/itm/176215436322,3
2021-W Burnished $50 Type 2 American Gold Eagle 1 oz NGC MS70 FDI First Label,177050831937,"Feb 2, 2026","$4,920.14",$0.00,,,Fixed price,https://www.ebay.com/itm/177050831937,3
1989 1/2 oz American Gold Eagle Coin,177404875725,"Jan 15, 2026","$2,349.98",$0.00,,,Fixed price,https://www.ebay.com/itm/177404875725,3
2025-W Proof $5 Type 2 American Gold Eagle 1/10 oz NGC PF70 ULtra Cameo,206034504716,"Feb 2, 2026",$650.00,$6.25,,,Fixed price,https://www.ebay.com/itm/206034504716,3
2025 Genuine 24K GOLD Plated 1 OZ .999 Fine Silver American Eagle US Coin TYPE 2,313628458662,"Mar 19, 2026",$139.95,$0.00,,,Fixed price,https://www.ebay.com/itm/313628458662,3
2023 $25 American Gold Eagle 1/2 oz PCGS MS70 FDOI Blue Label,314252868501,"Oct 23, 2025","$2,360.69",$0.00,,,Fixed price,https://www.ebay.com/itm/314252868501,3
2024 $25 American Gold Eagle 1/2 oz Brilliant Uncirculated,315092536467,"Mar 31, 2026","$2,412.81",$0.00,,,Fixed price,https://www.ebay.com/itm/315092536467,3
2021-W Burnished $50 Type 2 American Gold Eagle 1 oz NGC MS70 ER Blue Label,316453697858,"Jan 22, 2026","$4,781.68",$0.00,,,Fixed price,https://www.ebay.com/itm/316453697858,3
Lot of 2 - Random Year 1 oz Gold American Eagle Coin Brand New BU,334333754361,"Feb 23, 2026","$10,057.89",$0.00,,,Fixed price,https://www.ebay.com/itm/334333754361,3
5 Lighthouse EVERSLAB 27mm Graded Coin Slabs 1/2 oz Gold American Eagle Holders,360902046617,"Apr 12, 2026",$14.49,$0.00,,,Fixed price,https://www.ebay.com/itm/360902046617,5
1989-P $25 American Gold Eagle 1/2 Oz 0.5 Oz Gold PR70 DCAM ICG,365896119677,"Oct 18, 2025","$2,239.97",$0.00,,,Fixed price,https://www.ebay.com/itm/365896119677,3
2021 1/4 oz American Gold Eagle Coin (Type 2),394206192500,"Dec 7, 2025","$1,203.68",$0.00,,,Fixed price,https://www.ebay.com/itm/394206192500,3
"1/2 oz American Gold Eagle Coin MS69 (Random Year, Varied Label, PCGS or NGC)",395593373103,"Mar 3, 2026","$2,645.56",$0.00,,,Fixed price,https://www.ebay.com/itm/395593373103,3
Lot of 2 Gold 2026 Gold 1/4 oz Gold American Eagle $10 US Mint .9167 fine Coins,406602497128,"Mar 29, 2026","$2,658.43",$0.00,,,Fixed price,https://www.ebay.com/itm/406602497128,3
US Mint Presentation Gift Display Case For 1/2 oz Gold American Eagle Coin Box,113130660372,"Feb 14, 2026",$12.83,$0.00,,,Fixed price,https://www.ebay.com/itm/113130660372,2
"2021 1 oz Gold Eagle (Type 2) MS-70 PCGS (FDI, Black Label)",114824983921,"Oct 30, 2025","$4,563.90",$0.00,,,Fixed price,https://www.ebay.com/itm/114824983921,5
2025 1/2 oz American Gold Eagle MS-69 PCGS (FirstStrike®),116435685899,"Jan 16, 2026","$2,555.78",$0.00,,,Fixed price,https://www.ebay.com/itm/116435685899,2
2026 1/2 oz American Gold Eagle MS-70 NGC (Early Releases),116973302543,"Apr 12, 2026","$2,757.15",$49.99,,,Fixed price,https://www.ebay.com/itm/116973302543,2
1998 1/2 oz American Gold Eagle BU,122771613693,"Mar 29, 2026","$2,667.86",$0.00,,,Fixed price,https://www.ebay.com/itm/122771613693,2
1991-P $25 American Gold Eagle - 1/2 Oz Gold PR70 DCAM ICG,127189956430,"Jan 28, 2026","$2,522.95",$0.00,,,Fixed price,https://www.ebay.com/itm/127189956430,2
1988-P $25 American Gold Eagle 1/2 Oz Gold PF70 UCAM NGC,127189956450,"Jan 23, 2026","$2,497.98",$0.00,,,Fixed price,https://www.ebay.com/itm/127189956450,2
1992-P $25 American Gold Eagle 1/2 Oz 0.5 Oz Gold PR70 DCAM ICG,127406884227,"Nov 9, 2025","$2,249.95",$0.00,,,Fixed price,https://www.ebay.com/itm/127406884227,2
2007-W $25 Burnished Gold Eagle 1/2 Oz Gold MS70 NGC,127476796238,"Jan 25, 2026","$2,553.33",$0.00,,,Fixed price,https://www.ebay.com/itm/127476796238,3
2006-W $25 Burnished Gold Eagle 1/2 Oz Gold MS70 NGC,127476833406,"Jan 25, 2026","$2,561.67",$0.00,,,Fixed price,https://www.ebay.com/itm/127476833406,3
2026 1/2 oz American Gold Eagle MS-70 PCGS,127612847898,"Feb 18, 2026","$2,797.04",$0.00,,,Fixed price,https://www.ebay.com/itm/127612847898,4
2021 $50 American Gold Eagle (Type 2) 1 oz PCGS MS70 - First Day Issue,127719473001,"Mar 6, 2026","$5,247.50",$7.00,,,Fixed price,https://www.ebay.com/itm/127719473001,2
1986-Now $25 1/2 oz American Eagle Screw Top Reeded Border Coin Bezel 14k Gold,134076569760,"Mar 3, 2026",$452.82,$0.00,,,Fixed price,https://www.ebay.com/itm/134076569760,2
1992-P $25 American Gold Eagle - 1/2 Oz Gold PF70 UCAM NGC,136525924450,"Jan 28, 2026","$2,545.95",$0.00,,,Fixed price,https://www.ebay.com/itm/136525924450,2
1993-P $25 American Gold Eagle - 1/2 Oz Gold PF70 UCAM NGC,136533826835,"Mar 2, 2026","$3,433.00",$0.00,,,Fixed price,https://www.ebay.com/itm/136533826835,2
,,"Oct 15, 2025","$2,185.00",$10.00,,,Fixed price,,2
2002-W $25 American Gold Eagle - 1/2 Oz Gold PF70 UCAM NGC,137026410090,"Feb 28, 2026","$2,735.48",$0.00,,,Fixed price,https://www.ebay.com/itm/137026410090,2
2021 1/2 oz American Gold Eagle Coin BU (Type 1),143900577498,"Feb 17, 2026","$2,735.24",$0.00,,,Fixed price,https://www.ebay.com/itm/143900577498,2
27mm Genuine Airtite Coin Capsule for 1/2 oz GOLD American Eagle | Half Ounce,146551586989,"Apr 11, 2026",$1.75,$3.73,,,Fixed price,https://www.ebay.com/itm/146551586989,3
2025 1/2 oz American Gold Eagle - w/Starry Night Nativity Card,146702865056,"Apr 9, 2026","$2,606.83",$0.00,,,Fixed price,https://www.ebay.com/itm/146702865056,2
2025 1/2 oz American Gold Eagle Coin PCGS MS70 FDOI,156679322747,"Oct 20, 2025","$2,426.91",$0.00,,,Fixed price,https://www.ebay.com/itm/156679322747,3
,,"Jan 12, 2026",$497.00,$0.00,,,Fixed price,,2
1776-2026 W Proof $25 American Gold Eagle 1/2 oz NGC PF70UC First Day Bell 250th,168170164552,"Feb 25, 2026","$3,942.45",$0.00,,,Fixed price,https://www.ebay.com/itm/168170164552,2
2024 $25 American Gold Eagle 1/2 oz NGC MS69 ALS Label,176061826807,"Dec 31, 2025","$2,465.05",$0.00,,,Fixed price,https://www.ebay.com/itm/176061826807,2
2025 $25 American Gold Eagle 1/2 oz PCGS MS70 FDOI Flag Label,176710709263,"Dec 9, 2025","$2,463.51",$0.00,,,Fixed price,https://www.ebay.com/itm/176710709263,2
Lot of 2 Gold 2025 Gold 1/4 oz Gold American Eagle $10 US Mint Gold Eagle Coins,194711691872,"Jan 26, 2026","$2,641.66",$0.00,,,Fixed price,https://www.ebay.com/itm/194711691872,2
2024 $25 American Gold Eagle 1/2 oz PCGS MS70 FDOI Flag Label,204557429998,"Dec 24, 2025","$2,609.53",$0.00,,,Fixed price,https://www.ebay.com/itm/204557429998,2
2003 $25 American Gold Eagle 1/2 oz Brilliant Uncirculated,205682477024,"Mar 26, 2026","$2,386.50",$0.00,,,Fixed price,https://www.ebay.com/itm/205682477024,2
Dual 24K GOLD GILDED & COLORIZED 2025 1 OZ Silver American Eagle Coin - TYPE 2,234392848459,"Mar 22, 2026",$134.95,$0.00,,,Fixed price,https://www.ebay.com/itm/234392848459,2
,,"Nov 29, 2025","$3,502.50",$9.99,,,Fixed price,,2
2008 W GOLD $25 BURNISHED AMERICAN EAGLE 1/2 OZ COIN NGC MINT STATE 70,303892372002,"Jan 28, 2026","$2,720.00",$6.95,,,Fixed price,https://www.ebay.com/itm/303892372002,2
2021 $25 1/2 oz American Gold Eagle Type 1 NGC MS70 ER Family Of Eagles Label,306700855912,"Feb 2, 2026","$2,543.27",$0.00,,,Fixed price,https://www.ebay.com/itm/306700855912,2
2024 $25 American Gold Eagle 1/2 oz NGC MS70 FDI Trump Label,314992751975,"Jan 17, 2026","$2,618.41",$0.00,,,Fixed price,https://www.ebay.com/itm/314992751975,2
2022 $25 American Gold Eagle 1/2 oz NGC MS70 FDI Mike Castle Flag Label,316761821195,"Dec 22, 2025","$2,441.65",$0.00,,,Fixed price,https://www.ebay.com/itm/316761821195,2
,,"Dec 14, 2025",$479.95,$0.00,,,Fixed price,,2
2026-W Proof American $25 American Gold Eagle 1/2 oz NGC PF70UC ER Blue Label,318018674535,"Apr 7, 2026","$4,695.00",$0.00,,,Fixed price,https://www.ebay.com/itm/318018674535,2
2024 BLACK RUTHENIUM 1 Oz 999 Silver American Eagle Coin 24K Gold Gilded 2-Sided,323673663304,"Nov 6, 2025",$119.95,$16.25,,,Fixed price,https://www.ebay.com/itm/323673663304,2
,,"Nov 7, 2025",$499.50,$0.00,,,Fixed price,,2
Random Year - 1/2 oz $25 Gold American Eagle Coin BU - In Stock,363675779920,"Mar 17, 2026","$2,624.60",$0.00,,,Fixed price,https://www.ebay.com/itm/363675779920,2
2008-W $25 Burnished Gold Eagle 1/2 Oz Gold MS70 NGC,365969929510,"Apr 7, 2026","$2,654.17",$0.00,,,Fixed price,https://www.ebay.com/itm/365969929510,6
2025 American Gold Eagle 1/2 oz $25 - BU,375924560386,"Nov 5, 2025","$2,215.64",$0.00,,,Fixed price,https://www.ebay.com/itm/375924560386,2
2021 W $25 Proof American Gold Eagle 1/2 oz T-2 Reagan Series PCGS PR69 DCAM FDO,376727702808,"Feb 5, 2026","$2,643.50",$0.00,,,Fixed price,https://www.ebay.com/itm/376727702808,3
1986 $25 1/2 oz American Gold Eagle NGC MS69 UNC Coin First Year Of Issue,376847267666,"Jan 26, 2026","$2,628.82",$0.00,,,Fixed price,https://www.ebay.com/itm/376847267666,2
2021-W $25 American Proof Gold Eagle Type 1 PR70DCAM First Strike PCGS,384083242298,"Apr 12, 2026","$2,997.50",$0.00,,,Fixed price,https://www.ebay.com/itm/384083242298,2
1996 1/2 oz American Gold Eagle Coin,388858869857,"Mar 22, 2026","$2,841.24",$0.00,,,Fixed price,https://www.ebay.com/itm/388858869857,3
2026 $25 1/2-oz American Gold Eagle PCGS MS70 FS Flag Label,389411731739,"Mar 19, 2026","$2,811.94",$0.00,,,Fixed price,https://www.ebay.com/itm/389411731739,2
2023 1/2 oz American Gold Eagle Coin (BU),396517174680,"Oct 29, 2025","$2,274.61",$0.00,,,Fixed price,https://www.ebay.com/itm/396517174680,2
2021 1/4 oz American Gold Eagle Coin (Type 2),396698453557,"Jan 27, 2026","$1,303.72",$0.00,,,Fixed price,https://www.ebay.com/itm/396698453557,2
Lot of 2 Gold 2026 Gold 1/2 oz Gold American Eagle $25 US Mint .9167 Fine Coins,406602484989,"Mar 21, 2026","$5,158.31",$0.00,,,Fixed price,https://www.ebay.com/itm/406602484989,2
1/2 oz American Gold Eagle Coin BU (Random Year),111595440116,"Oct 15, 2025","$2,365.23",$0.00,,,Fixed price,https://www.ebay.com/itm/111595440116,1
1999 1/2 oz American Gold Eagle BU,112615725864,"Nov 17, 2025","$2,324.62",$0.00,,,Fixed price,https://www.ebay.com/itm/112615725864,1
2011 1/2 oz American Gold Eagle BU,112635578860,"Dec 22, 2025","$2,512.74",$0.00,,,Fixed price,https://www.ebay.com/itm/112635578860,1
1986 1/2 oz American Gold Eagle MS-69 PCGS,115140193641,"Feb 13, 2026","$2,837.16",$0.00,,,Fixed price,https://www.ebay.com/itm/115140193641,1
2021 1/2 oz American Gold Eagle (Type 2) MS-70 PCGS (FDI),115941875436,"Oct 31, 2025","$2,312.48",$0.00,,,Fixed price,https://www.ebay.com/itm/115941875436,1
