Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Random Date 1986-2024 $5 1/10 th Oz Gold American Eagle US Mint BU,134554630342,"Jan 14, 2026",$488.89,$0.00,,,Fixed price,https://www.ebay.com/itm/134554630342
,,"Dec 24, 2025",$488.23,$0.00,,,Fixed price,
2024 1/10 oz American Gold Eagle Coin (BU) “Not Random”,306683161513,"Jan 12, 2026",$498.09,$0.00,,,Fixed price,https://www.ebay.com/itm/306683161513
2024 Gold $5 Gold American Eagle 1/10 oz.,137026866137,"Feb 21, 2026",$577.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137026866137
2024 $10 American Gold Eagle 1/4 oz PCGS MS70 FS Blue Label,176061827324,"Dec 4, 2025","$1,321.29",$0.00,,,Fixed price,https://www.ebay.com/itm/176061827324
2024 $10 American Gold Eagle 1/4 oz NGC MS70 ALS Label,314992751797,"Mar 23, 2026","$1,445.45",$0.00,,,Fixed price,https://www.ebay.com/itm/314992751797
2024-W Gold Eagle - CAC PR70DCAM - CAC - “Paul Nugget” Signed Series,326892527394,"Mar 21, 2026",$583.75,$15.00,,,Fixed price,https://www.ebay.com/itm/326892527394
2024 1/10 oz Gold Eagle G$5 NGC MS-70 Magnum Opus Early Releases,376644312827,"Jan 28, 2026",$595.40,$0.00,,,Fixed price,https://www.ebay.com/itm/376644312827
"2024 1/10 oz American Gold Eagle MS-70 PCGS (FDI, Black Label)",116030163757,"Apr 8, 2026",$629.18,$49.99,,,Fixed price,https://www.ebay.com/itm/116030163757
2024 $10 American Gold Eagle 1/4 oz NGC MS69 Black Label,176063595739,"Mar 23, 2026","$1,270.34",$0.00,,,Fixed price,https://www.ebay.com/itm/176063595739
2024 1/10 oz American Gold Eagle Coin BU,116084663770,"Oct 20, 2025",$528.17,$0.00,,,Fixed price,https://www.ebay.com/itm/116084663770
,,"Dec 3, 2025",$512.50,$0.00,,,Fixed price,
2024 $10 1/4-oz American Gold Eagle NGC MS69 Brown Label,134957414207,"Mar 23, 2026","$1,274.51",$0.00,,,Fixed price,https://www.ebay.com/itm/134957414207
2024 $10 American Gold Eagle 1/4 oz PCGS MS70 Blue Label,176061827289,"Jan 18, 2026","$1,498.68",$0.00,,,Fixed price,https://www.ebay.com/itm/176061827289
2024 $10 American Gold Eagle 1/4 oz PCGS MS69 Blue Label,176063598758,"Mar 20, 2026","$1,332.35",$0.00,,,Fixed price,https://www.ebay.com/itm/176063598758
2024 $10 American Gold Eagle 1/4 oz NGC MS69 Brown Label,204558419368,"Apr 8, 2026","$1,362.13",$0.00,,,Fixed price,https://www.ebay.com/itm/204558419368
2024 1/10 oz Gold Eagle G$5 NGC MS-69,206034337145,"Jan 29, 2026",$582.50,$7.83,,,Fixed price,https://www.ebay.com/itm/206034337145
2024 $10 American Gold Eagle 1/4 oz PCGS MS70 FS Trump 45th President Label,314992752677,"Feb 26, 2026","$1,603.95",$0.00,,,Fixed price,https://www.ebay.com/itm/314992752677
2024 $10 American Gold Eagle 1/4 oz NGC MS69 ER Blue Label,314994921981,"Feb 28, 2026","$1,438.21",$0.00,,,Fixed price,https://www.ebay.com/itm/314994921981
2024-W $10 American Gold Eagle 1/4 Oz 0.25 Oz Gold PF70 UCAM NGC,365896119683,"Oct 21, 2025","$1,234.98",$0.00,,,Fixed price,https://www.ebay.com/itm/365896119683
2024 1/10 oz American Gold Eagle Coin (BU),395129889568,"Jan 22, 2026",$507.43,$0.00,,,Fixed price,https://www.ebay.com/itm/395129889568
,,"Oct 14, 2025","$1,135.00",$0.00,,,Fixed price,
,,"Nov 17, 2025",$499.99,$7.35,,,Auction,
2024 $5 American Gold Eagle 1/10 oz NGC MS70 Beautiful Coin Free Shipping,116988514372,"Jan 24, 2026",$611.00,$0.00,,,Auction,https://www.ebay.com/itm/116988514372
2024 1/10 oz American Gold Eagle MS-70 NGC,126267663013,"Nov 25, 2025",$571.74,$0.00,,,Fixed price,https://www.ebay.com/itm/126267663013
"2024 1/10 oz American Gold Eagle MS-70 PCGS (FS, Black)",126423937209,"Nov 16, 2025",$534.80,$0.00,,,Fixed price,https://www.ebay.com/itm/126423937209
,,"Nov 15, 2025",$465.00,$0.00,,,Fixed price,
,,"Nov 10, 2025",$470.70,$0.00,,,Fixed price,
,,"Oct 31, 2025",$448.67,$0.00,,,Auction,
,,"Dec 31, 2025","$24,823.27",$0.00,,,Fixed price,
,,"Nov 18, 2025",$415.00,$12.81,,,Fixed price,
"2024 1/10 oz American Gold Eagle MS-70 PCGS (FirstStrike®, Black)",127499928771,"Jan 26, 2026",$667.58,$0.00,,,Fixed price,https://www.ebay.com/itm/127499928771
,,"Dec 4, 2025",$462.50,$0.00,,,Fixed price,
(Tube of 50) 2024 American Gold Eagle (AGE) 1/10 oz Gold Coin,127611869857,"Jan 28, 2026","$30,711.80",$0.00,,,Fixed price,https://www.ebay.com/itm/127611869857
$10 American Gold Eagle 1/4 oz Brilliant Uncirculated 2024,127688049299,"Feb 17, 2026","$1,295.95",$0.00,,,Fixed price,https://www.ebay.com/itm/127688049299
2024 1/10 oz $5 American Gold Eagle BU,127696991421,"Feb 21, 2026",$547.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127696991421
2024 $10 American Gold Eagle - 1/4 Oz Gold PCGS 70 First Day Issue,127711458891,"Feb 28, 2026","$1,400.00",$8.30,,,Fixed price,https://www.ebay.com/itm/127711458891
2026 $10 American Gold Eagle - 1/4 Oz Gold PCGS 70 First Day Issue,127743623975,"Mar 14, 2026","$1,299.00",$8.10,,,Fixed price,https://www.ebay.com/itm/127743623975
2025 $5 American Gold Eagle - 1/10 Oz Gold PCGS 70 First Strike,127743631547,"Mar 14, 2026",$540.00,$7.70,,,Fixed price,https://www.ebay.com/itm/127743631547
2024 $5 1/10-oz American Gold Eagle PCGS MS69 FDOI Mint Error Obverse Strike,135566460402,"Dec 22, 2025",$525.00,$0.00,,,Fixed price,https://www.ebay.com/itm/135566460402
2024 $5 1/10-oz American Gold Eagle PCGS MS69 FDOI Mint Error Obverse Strike,135566485922,"Jan 8, 2026",$595.00,$0.00,,,Fixed price,https://www.ebay.com/itm/135566485922
,,"Nov 1, 2025",$566.15,$0.00,,,Fixed price,
2024-W $10 American Gold Eagle - 1/4 Oz Gold PR70 DCAM ICG,136308801459,"Feb 25, 2026","$1,450.00",$0.00,,,Fixed price,https://www.ebay.com/itm/136308801459
,,"Oct 26, 2025",$530.00,$0.00,,,Fixed price,
,,"Nov 19, 2025",$470.00,$5.20,,,Fixed price,
,,"Nov 24, 2025",$433.00,$9.00,,,Auction,
,,"Dec 25, 2025",$512.00,$0.00,,,Auction,
1/10 oz 2024 Gold $5 American Eagle Coin FREE WITH PURCHASE ONLY 14K BEZEL! NEW!,136918926314,"Mar 11, 2026",$799.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136918926314
2024 $5 American Gold Eagle David Moti 1/10 Oz Gold MS70 NGC *6350,136953112062,"Jan 18, 2026",$520.00,$0.00,,,Auction,https://www.ebay.com/itm/136953112062
2024 Eagle G$5 1/10th Gold Coin NGC MS70 Eagles Label,137072331047,"Feb 25, 2026",$520.00,$5.22,,,Auction,https://www.ebay.com/itm/137072331047
🌟 2024 $5 Gold American Eagle 1/10 oz BU Coin NGC MS70 Trader Bea,298034890668,"Feb 18, 2026",$599.99,$5.00,,,Fixed price,https://www.ebay.com/itm/298034890668,1
2024 Eagle G$5 1/10th Gold Coin NGC MS70 Eagles Label,188068923876,"Feb 18, 2026",$570.00,$4.50,,,Fixed price,https://www.ebay.com/itm/188068923876,1
2024 $10 American Gold Eagle - 1/4 Oz Gold PCGS 70 First Day Issue,267572596084,"Feb 17, 2026","$1,375.00",$25.00,,,Fixed price,https://www.ebay.com/itm/267572596084,1
2024 $5 AMERICAN GOLD EAGLE NGC MS70 FIRST DAY OF ISSUE PERFECTION GUARANTEED!,157682921628,"Feb 17, 2026",$573.00,$0.00,,,Auction,https://www.ebay.com/itm/157682921628,1
2024 NGC MS70 1/10 oz. Gold Eagle,366189185866,"Feb 16, 2026",$599.00,$8.75,,,Auction,https://www.ebay.com/itm/366189185866,1
"2018 W, 2024 WP Hoard, $10 Am. Liberty Series, NGC PF 70 UC, Gaudioso Signed",326954457245,"Feb 16, 2026",$750.00,$0.00,,,Fixed price,https://www.ebay.com/itm/326954457245,1
2024 1/10 oz American Gold Eagle MS-70 NGC First releases designation.,366196969326,"Feb 16, 2026",$635.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366196969326,1
2024 Eagle G$5- NGC Graded MS69 - 1/10th OZ Fine GOLD American Coin Slab,157680550353,"Feb 14, 2026",$528.00,$7.00,,,Fixed price,https://www.ebay.com/itm/157680550353,1
2024 $5 1/10 oz Gold Eagle Coin NGC MS70 Lot 010659,227198610475,"Feb 14, 2026",$610.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227198610475,1
2024 $10 American Gold Eagle 1/4 oz NGC MS69 ER Blue Label,366197024424,"Feb 14, 2026","$1,375.00",$0.00,,,Fixed price,https://www.ebay.com/itm/366197024424,1
2024 $5 1/10 oz Gold Eagle Coin Lot 021045,236614893693,"Feb 12, 2026",$578.00,$0.00,,,Fixed price,https://www.ebay.com/itm/236614893693,1
2024 G$5 1/10 oz Gold American Eagle - NGC MS 70,157669016517,"Feb 11, 2026",$543.00,$7.00,,,Fixed price,https://www.ebay.com/itm/157669016517,1
2024 American Eagle 1/10th ounce Gold Proof Coin with box and cert !,287130042495,"Feb 11, 2026",$558.00,$10.80,,,Auction,https://www.ebay.com/itm/287130042495,1
2024 American Gold Eagle 1/10 oz $5 - BU,188041602042,"Feb 9, 2026",$530.00,$2.99,,,Fixed price,https://www.ebay.com/itm/188041602042,1
2024 American Gold Eagle 1/10 oz $5 - BU,389590899860,"Feb 9, 2026",$550.00,$8.75,,,Fixed price,https://www.ebay.com/itm/389590899860,1
2024 W $5 Gold American Eagle 1/10 Oz PCGS PR70,317826939461,"Feb 8, 2026",$592.05,$0.00,,,Fixed price,https://www.ebay.com/itm/317826939461,1
"2024 American Gold Eagle $5 (1/10 oz Fine, Type 2) Graded A Perfect MS70 by NGC",198077154033,"Feb 8, 2026",$577.99,$15.00,,,Auction,https://www.ebay.com/itm/198077154033,1
2024 $5 1/10 oz Gold Eagle Coin Lot 021038,227200578470,"Feb 8, 2026",$578.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227200578470,1
2024 $5 1/10 oz Gold Eagle Coin Lot 021038,257343759501,"Feb 6, 2026",$560.00,$21.40,,,Auction,https://www.ebay.com/itm/257343759501,1
2024 $5 American Gold Eagle PCGS MS70 Blue Label￼First Strike 👊🏻😎👍,366155561286,"Feb 3, 2026",$579.00,$8.75,,,Auction,https://www.ebay.com/itm/366155561286,1
2024 $5 1/10oz Gold American Eagle in a Capsule,147121228552,"Feb 3, 2026",$573.33,$0.00,,,Auction,https://www.ebay.com/itm/147121228552,1
2024 $5 1/10 oz Gold Eagle Coin Lot 021047,326983322800,"Feb 3, 2026",$585.00,$0.00,,,Fixed price,https://www.ebay.com/itm/326983322800,1
2024 American Gold Eagle 1/10 OZ Coin Sealed,287100004081,"Feb 1, 2026",$555.00,$5.89,,,Auction,https://www.ebay.com/itm/287100004081,1
2024 American Gold Eagle PCGS MS 70 - 1/10oz Fine Gold $5,188015542643,"Feb 1, 2026",$590.00,$0.00,,,Fixed price,https://www.ebay.com/itm/188015542643,1
"2024 $5 AMERICAN GOLD EAGLE, 1/10 OZ GOLD, CERTIFIED, COA, CAPSULE, UNCIRCULATED",206038349516,"Feb 1, 2026",$535.00,$0.00,,,Fixed price,https://www.ebay.com/itm/206038349516,1
2024 Gold Eagle 1/10oz G$5 - NGC MS 69,357831600995,"Jan 28, 2026",$650.00,$7.70,,,Fixed price,https://www.ebay.com/itm/357831600995,1
2024 $5 American Gold Eagle 1/10 oz PCGS MS69 FDOI Mint Error Obverse Strike,205303396561,"Jan 28, 2026",$599.00,$0.00,,,Fixed price,https://www.ebay.com/itm/205303396561,1
2024 $5 American Gold Eagle 1/10 oz PCGS MS69 FDOI Mint Error Obverse Strike,316330586732,"Jan 28, 2026",$599.00,$0.00,,,Fixed price,https://www.ebay.com/itm/316330586732,1
2024 $5 American Gold Eagle 1/10 oz PCGS MS69 FDOI Mint Error Obverse Strike,205303386409,"Jan 28, 2026",$650.00,$0.00,,,Fixed price,https://www.ebay.com/itm/205303386409,1
2024 $5 Gold American Eagle - ICG MS70 (1/10 oz Fine Gold),397545825111,"Jan 28, 2026",$546.25,$7.99,,,Fixed price,https://www.ebay.com/itm/397545825111,1
2024 $5 1/10 oz Gold Eagle Coin Lot 241104,227187951743,"Jan 28, 2026",$585.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227187951743,1
2024 Eagle G$5 1/10th Gold Coin NGC MS70,187971514433,"Jan 28, 2026",$570.00,$5.20,,,Fixed price,https://www.ebay.com/itm/187971514433,1
2024 NGC MS70 1/10 oz. Gold Eagle,358162874600,"Jan 28, 2026",$530.00,$5.00,,,Fixed price,https://www.ebay.com/itm/358162874600,1
2024 $5 1/10-oz American Gold Eagle Struck-Through Obverse Mint Error NGC MS69,147041956155,"Jan 27, 2026",$595.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147041956155,1
2024 $5 American Gold Eagle 1/10 oz MS70 NGC Graded Bullion Coin,267482101641,"Jan 27, 2026",$575.00,$5.29,,,Fixed price,https://www.ebay.com/itm/267482101641,1
2024 $5 1/10 oz Gold Eagle Coin Lot 241102,326969710238,"Jan 26, 2026",$585.00,$0.00,,,Fixed price,https://www.ebay.com/itm/326969710238,1
2024 $10 1/4 oz American Gold Eagle NGC MS70 Early Releases Label,306700861258,"Jan 26, 2026","$1,427.16",$0.00,,,Fixed price,https://www.ebay.com/itm/306700861258,1
"2024 American Gold Eagle $5 (1/10 oz Fine, Type 2) Graded A Perfect MS70 by NGC",198047638151,"Jan 25, 2026",$597.06,$15.00,,,Auction,https://www.ebay.com/itm/198047638151,1
2024 PCGS MS70 Gold Eagle - First Day of Issue,326965159855,"Jan 24, 2026",$580.00,$13.99,,,Fixed price,https://www.ebay.com/itm/326965159855,1
2024 $5 American Gold Eagle PCGS MS70 First Strike Flag Rare 1 of 1232 Mint!,227176738630,"Jan 24, 2026",$585.00,$5.29,,,Fixed price,https://www.ebay.com/itm/227176738630,1
2024 US $5 Gold Eagle 1/10th NGC MS69,187958241225,"Jan 23, 2026",$539.00,$4.69,,,Auction,https://www.ebay.com/itm/187958241225,1
2024 G$5 American Gold Eagle NGC MS70,157595411815,"Jan 22, 2026",$545.00,$5.00,,,Fixed price,https://www.ebay.com/itm/157595411815,1
2024 1/10th AMERICAN EAGLE GOLD PROOF COIN WITH BOX,227110050345,"Jan 22, 2026",$600.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227110050345,1
2024 US $5 Gold Eagle 1/10th NGC MS69,397519773192,"Jan 21, 2026",$480.00,$5.20,,,Fixed price,https://www.ebay.com/itm/397519773192,1
2024 $5 American Gold Eagle - 1/10 Oz Gold,267542886395,"Jan 17, 2026",$510.00,$9.99,,,Auction,https://www.ebay.com/itm/267542886395,1
2024 G$5 American Gold Eagle NGC MS70,157435849515,"Jan 17, 2026",$540.00,$4.58,,,Fixed price,https://www.ebay.com/itm/157435849515,1
2024 American Gold Eagle PCGS MS 70 - FDOI - 1/10oz Fine Gold $5. #963,187949080061,"Jan 17, 2026",$519.00,$4.95,,,Fixed price,https://www.ebay.com/itm/187949080061,1
,,"Jan 12, 2026",$535.00,$12.85,,,Fixed price,,1
,,"Jan 12, 2026",$850.00,$12.00,,,Fixed price,,1
,,"Jan 12, 2026",$498.09,$0.00,,,Fixed price,,48
,,"Jan 11, 2026",$495.00,$0.00,,,Fixed price,,1
,,"Jan 9, 2026",$549.00,$0.00,,,Fixed price,,1
,,"Jan 8, 2026",$519.99,$9.85,,,Fixed price,,1
,,"Jan 6, 2026",$514.99,$4.87,,,Fixed price,,1
,,"Jan 4, 2026",$475.00,$0.00,,,Fixed price,,1
,,"Jan 4, 2026",$465.00,$4.76,,,Auction,,1
,,"Jan 3, 2026",$501.00,$9.99,,,Auction,,1
,,"Jan 1, 2026",$472.57,$8.40,,,Auction,,1
,,"Jan 1, 2026",$950.00,$0.00,,,Fixed price,,1
,,"Dec 30, 2025",$123.76,$29.95,,,Fixed price,,1
,,"Dec 29, 2025",$512.00,$3.00,,,Fixed price,,1
,,"Dec 29, 2025",$465.00,$0.00,,,Auction,,1
,,"Dec 29, 2025",$200.00,$7.85,,,Auction,,1
,,"Dec 28, 2025",$490.00,$0.00,,,Fixed price,,1
,,"Dec 28, 2025",$481.99,$4.76,,,Auction,,1
,,"Dec 27, 2025","$1,011.12",$0.00,,,Auction,,1
,,"Dec 27, 2025",$490.00,$9.25,,,Fixed price,,1
,,"Dec 26, 2025",$460.00,$10.00,,,Fixed price,,1
,,"Dec 26, 2025",$550.00,$0.00,,,Fixed price,,1
,,"Dec 26, 2025",$490.00,$9.25,,,Fixed price,,1
,,"Dec 23, 2025",$535.00,$0.00,,,Auction,,1
,,"Dec 22, 2025",$486.00,$4.99,,,Auction,,1
,,"Dec 22, 2025",$471.00,$0.00,,,Auction,,1
,,"Dec 18, 2025",$507.00,$0.00,,,Auction,,1
,,"Dec 17, 2025",$479.00,$5.95,,,Auction,,1
,,"Dec 17, 2025",$491.00,$4.99,,,Auction,,1
,,"Dec 17, 2025",$500.00,$11.50,,,Fixed price,,1
