Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
American Gold Eagle Proof 1/4 oz $10 - Coin in Capsule - Random Date,305692394428,"Mar 31, 2026","$1,286.62",$0.00,,,Fixed price,https://www.ebay.com/itm/305692394428
1/4 oz American Gold Eagle Coin BU (Random Year),146670377002,"Apr 2, 2026","$1,287.71",$0.00,,,Fixed price,https://www.ebay.com/itm/146670377002
American Gold Eagle Proof 1/4 oz $10 - Coin in OGP - Random Date,376211949126,"Apr 2, 2026","$1,303.74",$0.00,,,Fixed price,https://www.ebay.com/itm/376211949126
Random Year - 1/4 oz Gold American Eagle $10 Coin BU,233681915508,"Apr 1, 2026","$1,340.59",$0.00,,,Fixed price,https://www.ebay.com/itm/233681915508
2026 American Gold Eagle 1/4 oz $10 - BU,406592996706,"Mar 26, 2026","$1,331.89",$0.00,,,Fixed price,https://www.ebay.com/itm/406592996706
1/4 oz American Gold Eagle $10 Coin (Random Year),386299955115,"Apr 6, 2026","$1,301.69",$0.00,,,Fixed price,https://www.ebay.com/itm/386299955115
2026 1/4 oz American Gold Eagle Coin BU,127621919942,"Apr 6, 2026","$1,358.75",$0.00,,,Fixed price,https://www.ebay.com/itm/127621919942
American Gold Eagle Coin Proof 1/4 oz $10 - NGC PF70 Random Date and Label,306302894439,"Apr 2, 2026","$1,284.95",$0.00,,,Fixed price,https://www.ebay.com/itm/306302894439
2026 $10 American Gold Eagle 1/4 oz Brilliant Uncirculated,317533509823,"Mar 23, 2026","$1,339.28",$0.00,,,Fixed price,https://www.ebay.com/itm/317533509823
American Gold Eagle 1/4 oz $10 - NGC MS69 Random Date and Label,404887927806,"Apr 4, 2026","$1,278.85",$0.00,,,Fixed price,https://www.ebay.com/itm/404887927806
American Gold Eagle 1/4 oz $10 - NGC MS70 Random Date and Label,375364348272,"Mar 25, 2026","$1,277.54",$0.00,,,Fixed price,https://www.ebay.com/itm/375364348272
Random Year $10 1/4 oz American Gold Eagle Uncirculated Coin BU,296070736276,"Mar 26, 2026","$1,341.11",$0.00,,,Fixed price,https://www.ebay.com/itm/296070736276
Random Year $10 1/4 oz Proof American Gold Eagle in Capsule Coin,297127647676,"Apr 4, 2026","$1,257.39",$0.00,,,Fixed price,https://www.ebay.com/itm/297127647676
2026 1/4 oz American Gold Eagle Coin BU,297852751759,"Mar 21, 2026","$1,368.22",$0.00,,,Fixed price,https://www.ebay.com/itm/297852751759
Random Date 1986-2026 $10 American Gold Eagle - 1/4 Oz. Gold - U.S. Gold Coin,364348308351,"Apr 4, 2026","$1,265.99",$0.00,,,Fixed price,https://www.ebay.com/itm/364348308351
2009-P $10 Face 1/4 oz Gold American Mint Uncirculated Coin .99 Fine Gold,168198780148,"Apr 3, 2026","$1,365.80",$12.99,,,Fixed price,https://www.ebay.com/itm/168198780148
2026 Gold 1/4 oz Gold American Eagle $10 US Mint Gold Eagle .9167 Fine Coin,206001814577,"Apr 5, 2026","$1,286.20",$0.00,,,Fixed price,https://www.ebay.com/itm/206001814577
American Gold Eagle 1/4 oz $10 - Cull Condition - Random Date,405294791770,"Mar 25, 2026","$1,353.03",$0.00,,,Fixed price,https://www.ebay.com/itm/405294791770
$10 American Gold Eagle 1/4 oz Brilliant Uncirculated Random Year,177225469357,"Mar 20, 2026","$1,277.44",$0.00,,,Fixed price,https://www.ebay.com/itm/177225469357
2026-W Proof Gold Eagle 250 Liberty Bell 4-Coin Set FDI NGC PF70 (1776-2026),257373612152,"Apr 4, 2026","$14,871.25",$0.00,,,Fixed price,https://www.ebay.com/itm/257373612152
2026-W Proof Gold Eagle 250 Liberty Bell 4-Coin Set FDD CAC PR70 (1776-2026),257373612482,"Apr 5, 2026","$14,871.25",$0.00,,,Fixed price,https://www.ebay.com/itm/257373612482
1/4 oz American Gold Eagle Coin BU - Random Year - $10 US Gold,297174346410,"Apr 1, 2026","$1,310.23",$0.00,,,Fixed price,https://www.ebay.com/itm/297174346410
2022 $10 American Gold Eagle - 1/4 oz AGE,336472731599,"Mar 20, 2026","$1,294.91",$0.00,,,Fixed price,https://www.ebay.com/itm/336472731599
2020 1/4 oz American Gold Eagle BU- NO RESERVE,336491944431,"Mar 23, 2026","$1,205.25",$8.99,,,Fixed price,https://www.ebay.com/itm/336491944431
American Gold Eagle 1/4 oz $10 - PCGS MS70 Random Date and Label,375552718373,"Mar 29, 2026","$1,281.64",$0.00,,,Fixed price,https://www.ebay.com/itm/375552718373
2024 $10 American Gold Eagle 1/4 oz NGC MS69 Black Label,176063595739,"Mar 23, 2026","$1,270.34",$0.00,,,Fixed price,https://www.ebay.com/itm/176063595739
Air Tite 1/4 oz American Gold Eagle Direct Fit Coin Capsule - 22mm (1),284033202080,"Mar 25, 2026",$1.75,$6.25,,,Fixed price,https://www.ebay.com/itm/284033202080
"1/4 oz Proof American Gold Eagle Coin PR/PF70 (Random Year, PCGS or NGC)",388386172913,"Apr 5, 2026","$1,401.07",$0.00,,,Fixed price,https://www.ebay.com/itm/388386172913
2026 $10 1/4-oz American Gold Eagle Brilliant Uncirculated,389246127745,"Mar 22, 2026","$1,326.33",$0.00,,,Fixed price,https://www.ebay.com/itm/389246127745
2023 1/4 oz American Gold Eagle Coin BU,115667874998,"Mar 20, 2026","$1,336.02",$0.00,,,Fixed price,https://www.ebay.com/itm/115667874998
2024 $10 1/4-oz American Gold Eagle NGC MS69 Brown Label,134957414207,"Mar 23, 2026","$1,274.51",$0.00,,,Fixed price,https://www.ebay.com/itm/134957414207
1998 1/4 oz American Gold Eagle BU,141893025704,"Mar 20, 2026","$1,416.84",$0.00,,,Fixed price,https://www.ebay.com/itm/141893025704
2025 1/4 oz American Gold Eagle Coin BU,146291126793,"Apr 1, 2026","$1,328.76",$0.00,,,Fixed price,https://www.ebay.com/itm/146291126793
2015-P $10 Face 1/4 oz Gold American Mint Uncirculated Coin .99 Fine Gold,168202367410,"Apr 1, 2026","$1,308.92",$12.99,,,Fixed price,https://www.ebay.com/itm/168202367410
2024 $10 American Gold Eagle 1/4 oz PCGS MS69 Blue Label,176063598758,"Mar 20, 2026","$1,332.35",$0.00,,,Fixed price,https://www.ebay.com/itm/176063598758
2026 W AMERICAN EAGLE ONE-QUARTER OUNCE GOLD PROOF LIBERTY BELL PRIVY DUAL DATE,188138849564,"Apr 1, 2026","$1,822.25",$0.00,,,Fixed price,https://www.ebay.com/itm/188138849564
"1/10, 1/4, 1/2 & 1 OZ - US MINT GOLD/PLATINUM AMERICAN EAGLE & BUFFALO COIN CAPS",205696328520,"Mar 26, 2026",$17.04,$0.00,,,Fixed price,https://www.ebay.com/itm/205696328520
2024 $10 American Gold Eagle 1/4 oz NGC MS70 ALS Label,314992751797,"Mar 23, 2026","$1,314.50",$0.00,,,Fixed price,https://www.ebay.com/itm/314992751797
2026 1/4 oz American Gold Eagle Coin $10 (BU),389381955093,"Mar 31, 2026","$1,383.19",$0.00,,,Fixed price,https://www.ebay.com/itm/389381955093
Empty US Mint Capsule 1/4 oz - Fits Gold American Eagles Buffalo Platinum Coins,112285324284,"Mar 7, 2026",$4.97,$2.99,,,Fixed price,https://www.ebay.com/itm/112285324284
2000 1/4 oz American Gold Eagle BU,112615755994,"Mar 19, 2026","$1,407.39",$0.00,,,Fixed price,https://www.ebay.com/itm/112615755994
US Mint Presentation Gift Display Case For 1/4 oz Gold American Eagle Coin Box,113130660330,"Mar 9, 2026",$12.94,$0.00,,,Fixed price,https://www.ebay.com/itm/113130660330
2000 1/4 oz American Gold Eagle MS-70 NGC,116701880183,"Mar 23, 2026","$1,317.18",$0.00,,,Fixed price,https://www.ebay.com/itm/116701880183
"2026 1/4 oz American Gold Eagle MS-69 NGC (ER, 40th Anniversary)",116973302566,"Mar 31, 2026","$1,367.61",$0.00,,,Fixed price,https://www.ebay.com/itm/116973302566
1986 1/4 oz American Gold Eagle MS-69 NGC,126114370268,"Mar 24, 2026","$1,360.30",$0.00,,,Fixed price,https://www.ebay.com/itm/126114370268
10 Guardhouse Tetra 2x2 Coin Snaplock Holder 1/4 oz. $10 American Gold Eagle,127480970737,"Apr 6, 2026",$10.88,$0.00,,,Fixed price,https://www.ebay.com/itm/127480970737
14k Gold 1/4 oz American Eagle Screw Top Coin Bezel Charm 22x1.9- 1.6g Tw,127681305478,"Mar 12, 2026",$200.00,$8.00,,,Fixed price,https://www.ebay.com/itm/127681305478
2021 W $10 Type 2 American Gold Eagle 1/4 oz NGC FDI First Label,127727224463,"Mar 8, 2026","$1,300.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127727224463
2022 W $10 American Gold Eagle 1/4 Oz Gold Coin,127727224966,"Mar 8, 2026","$1,300.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127727224966
2009-P $10 Face 1/4 oz Gold American Mint Uncirculated Coin .99 Fine Gold,168198780148,"Apr 8, 2026","$1,345.17",$12.99,,,Fixed price,https://www.ebay.com/itm/168198780148,6
2026-W Proof Gold Eagle 250 Liberty Bell 4-Coin Set FDD CAC PR70 (1776-2026),257373612482,"Apr 5, 2026","$14,912.50",$0.00,,,Fixed price,https://www.ebay.com/itm/257373612482,6
2025 W American Gold Eagle Proof 1/4 oz Case Capsule COA Box OGP - No Coin,116562445071,"Feb 20, 2026",$11.96,$4.69,,,Fixed price,https://www.ebay.com/itm/116562445071,12
2021 1/4 oz American Gold Eagle Coin BU (Type 1),124503960717,"Jan 22, 2026","$1,338.12",$0.00,,,Fixed price,https://www.ebay.com/itm/124503960717,5
2004 1/4 oz American Gold Eagle MS-70 NGC,127258657976,"Jan 11, 2026","$1,269.37",$0.00,,,Fixed price,https://www.ebay.com/itm/127258657976,5
10 Guardhouse Tetra 2x2 Coin Snaplock Holder 1/4 oz. $10 American Gold Eagle,127480970737,"Apr 11, 2026",$10.66,$0.00,,,Fixed price,https://www.ebay.com/itm/127480970737,5
2016 1/4 oz American Gold Eagle BU,141849922261,"Feb 20, 2026","$1,413.89",$0.00,,,Fixed price,https://www.ebay.com/itm/141849922261,5
1986-Now $10 1/4 oz American Eagle Screw Top Reeded Border Coin Bezel 14k Gold,175229155892,"Apr 12, 2026",$325.30,$0.00,,,Fixed price,https://www.ebay.com/itm/175229155892,6
1986 1/4 oz American Gold Eagle Coin,177114926633,"Jan 31, 2026","$1,367.39",$0.00,,,Fixed price,https://www.ebay.com/itm/177114926633,5
Lot of 4 Gold 2026 Gold 1/4 oz Gold American Eagle $10 US Mint .9167 fine Coins,198031371430,"Apr 7, 2026","$5,350.82",$0.00,,,Fixed price,https://www.ebay.com/itm/198031371430,5
2026-W Proof Gold Eagle 250 Liberty Bell 4-Coin Set FDI NGC PF70 (1776-2026),257373612152,"Apr 4, 2026","$14,896.00",$0.00,,,Fixed price,https://www.ebay.com/itm/257373612152,5
"1/4 oz Proof American Gold Eagle Coin PR/PF70 (Random Year, PCGS or NGC)",388386172913,"Apr 5, 2026","$1,332.64",$0.00,,,Fixed price,https://www.ebay.com/itm/388386172913,5
1999 1/4 oz American Gold Eagle BU,111841485182,"Jan 27, 2026","$1,363.71",$0.00,,,Fixed price,https://www.ebay.com/itm/111841485182,5
2009 1/4 oz American Gold Eagle BU,121836310034,"Jan 25, 2026","$1,301.54",$0.00,,,Fixed price,https://www.ebay.com/itm/121836310034,4
1986 1/4 oz American Gold Eagle MS-69 NGC,126114370268,"Apr 8, 2026","$1,369.25",$0.00,,,Fixed price,https://www.ebay.com/itm/126114370268,4
2026 1/4 oz American Gold Eagle MS-70 PCGS (FirstStrike®),127612847918,"Apr 10, 2026","$1,511.15",$0.00,,,Fixed price,https://www.ebay.com/itm/127612847918,4
2017 1/4 oz American Gold Eagle BU,142549596953,"Feb 18, 2026","$1,312.16",$0.00,,,Fixed price,https://www.ebay.com/itm/142549596953,4
2022 1/4 oz American Gold Eagle Coin BU,144339452776,"Jan 28, 2026","$1,325.35",$0.00,,,Fixed price,https://www.ebay.com/itm/144339452776,5
2026 $10 1/4-oz American Gold Eagle PCGS MS70 FS Flag Label,147051968215,"Mar 15, 2026","$1,554.84",$0.00,,,Fixed price,https://www.ebay.com/itm/147051968215,4
1776-2026 W Proof $10 American Gold Eagle 1/4 oz NGC PF70UC First Day Bell 250th,168170161768,"Apr 11, 2026","$2,587.43",$0.00,,,Fixed price,https://www.ebay.com/itm/168170161768,4
2024 $10 American Gold Eagle 1/4 oz PCGS MS70 FS Blue Label,176061827324,"Dec 4, 2025","$1,321.29",$0.00,,,Fixed price,https://www.ebay.com/itm/176061827324,4
"1/4 oz American Gold Eagle Coin MS69 (Random Year, Varied Label, PCGS or NGC)",176320771639,"Jan 6, 2026","$1,221.80",$0.00,,,Fixed price,https://www.ebay.com/itm/176320771639,6
"1/10, 1/4, 1/2 & 1 OZ - US MINT GOLD/PLATINUM AMERICAN EAGLE & BUFFALO COIN CAPS",205696328520,"Mar 26, 2026",$17.21,$0.00,,,Fixed price,https://www.ebay.com/itm/205696328520,5
2024 $10 American Gold Eagle 1/4 oz NGC MS70 ALS Label,314992751797,"Mar 23, 2026","$1,445.45",$0.00,,,Fixed price,https://www.ebay.com/itm/314992751797,4
2025 1/4 oz American Gold Eagle MS-70 PCGS (FirstStrike®),116435685921,"Nov 11, 2025","$1,268.34",$0.00,,,Fixed price,https://www.ebay.com/itm/116435685921,4
"2026 1/4 oz American Gold Eagle MS-70 PCGS (FirstStrike®, Black)",116973302537,"Mar 2, 2026","$1,562.83",$0.00,,,Fixed price,https://www.ebay.com/itm/116973302537,6
1/4 oz American Gold Eagle MS-69 PCGS (Random Year),122776532392,"Oct 26, 2025","$1,205.70",$0.00,,,Fixed price,https://www.ebay.com/itm/122776532392,3
2024 1/4 oz American Gold Eagle MS-70 NGC,126267663016,"Oct 22, 2025","$1,221.81",$0.00,,,Fixed price,https://www.ebay.com/itm/126267663016,3
,,"Mar 10, 2026",$499.90,$0.00,,,Fixed price,,3
1/10 oz American Gold Eagle Coin BU (Random Year),145854183807,"Nov 29, 2025",$481.06,$0.00,,,Fixed price,https://www.ebay.com/itm/145854183807,3
$10 American Gold Eagle 1/4 oz Random Year Impaired,177292797679,"Feb 23, 2026","$1,376.21",$0.00,,,Fixed price,https://www.ebay.com/itm/177292797679,3
1995 1/4 oz American Gold Eagle Coin,177419492130,"Mar 10, 2026","$1,429.22",$0.00,,,Fixed price,https://www.ebay.com/itm/177419492130,3
Gold 1/4 oz Gold American Eagle $10 US Mint Gold Eagle Coin Random,195046173576,"Feb 28, 2026","$1,349.63",$0.00,,,Fixed price,https://www.ebay.com/itm/195046173576,3
1988 Proof 1/4 oz Gold American Eagle Box and COA - No Coin,196407094568,"Dec 21, 2025",$50.00,$0.00,,,Fixed price,https://www.ebay.com/itm/196407094568,3
,,"Jan 10, 2026","$1,258.62",$4.50,,,Fixed price,,3
1986 $10 American Gold Eagle 1/4 oz NGC MS70 Brown Label,315958279973,"Jan 28, 2026","$1,499.99",$0.00,,,Fixed price,https://www.ebay.com/itm/315958279973,3
2025-W Proof $10 American Gold Eagle 1/4 oz NGC PF70UC FDI First Label,316529837864,"Mar 1, 2026","$1,591.67",$0.00,,,Fixed price,https://www.ebay.com/itm/316529837864,3
,,"Dec 12, 2025","$1,109.99",$0.00,,,Fixed price,,3
22mm Airtite Capsule Black Ring for 1/4 oz American Eagle $10 Gold - FREE SHIP,354509855763,"Jan 31, 2026",$6.95,$0.00,,,Fixed price,https://www.ebay.com/itm/354509855763,3
,,"Jan 12, 2026",$499.90,$0.00,,,Fixed price,,3
2022 $10 1/4 oz Gold American Eagle PCGS MS70 First Strike Flag Label Coin,376847225489,"Jan 25, 2026","$1,385.27",$0.00,,,Fixed price,https://www.ebay.com/itm/376847225489,3
2026 1/4 oz American Gold Eagle Coin PCGS MS70 FS,389461116139,"Mar 25, 2026","$1,462.30",$0.00,,,Fixed price,https://www.ebay.com/itm/389461116139,3
2021 1/4 oz American Gold Eagle Coin (Type 2),394206192500,"Dec 7, 2025","$1,203.68",$0.00,,,Fixed price,https://www.ebay.com/itm/394206192500,3
1/4 oz American Gold Eagle $10 Coin (Random Year),395497557358,"Apr 2, 2026","$1,391.96",$0.00,,,Fixed price,https://www.ebay.com/itm/395497557358,3
Lot of 2 Gold 2026 Gold 1/4 oz Gold American Eagle $10 US Mint .9167 fine Coins,406602497128,"Mar 29, 2026","$2,658.43",$0.00,,,Fixed price,https://www.ebay.com/itm/406602497128,3
2009 1/4 oz American Gold Eagle MS-70 NGC (Early Releases),114644603231,"Nov 7, 2025","$1,228.80",$0.00,,,Fixed price,https://www.ebay.com/itm/114644603231,2
2007-W 1/4 oz Burnished Gold Eagle MS/SP-70 NGC (Early Release),116861599609,"Feb 13, 2026","$1,510.76",$0.00,,,Fixed price,https://www.ebay.com/itm/116861599609,2
2026 1/4 oz American Gold Eagle MS-70 PCGS (First Day of Issue),116973302534,"Feb 28, 2026","$1,565.37",$0.00,,,Fixed price,https://www.ebay.com/itm/116973302534,2
2014 1/4 oz American Gold Eagle BU,121832138671,"Feb 20, 2026","$1,463.91",$0.00,,,Fixed price,https://www.ebay.com/itm/121832138671,2
"Gold American Eagle US Mint Gift Case Capsule Box 1/4 oz Color - Black, No Coin",127139206540,"Feb 19, 2026",$9.97,$3.99,,,Fixed price,https://www.ebay.com/itm/127139206540,2
2020-W $10 American Gold Eagle - 1/4 Oz Gold PR70 DCAM PCGS,127304912892,"Feb 10, 2026","$1,400.48",$0.00,,,Fixed price,https://www.ebay.com/itm/127304912892,2
1988-P $10 American Gold Eagle - 1/4 Oz Gold PR70 DCAM PCGS,127406884234,"Mar 3, 2026","$1,545.95",$0.00,,,Fixed price,https://www.ebay.com/itm/127406884234,2
2017 1/4 oz American Gold Eagle MS-70 NGC (Box #1),127429605296,"Oct 25, 2025","$1,266.66",$0.00,,,Fixed price,https://www.ebay.com/itm/127429605296,2
,,"Dec 5, 2025","$1,995.00",$0.00,,,Fixed price,,2
1986-Now $10 1/4 oz American Eagle Prong Set Plain Coin Bezel in 14k Gold,134076569750,"Apr 3, 2026",$280.39,$0.00,,,Fixed price,https://www.ebay.com/itm/134076569750,2
1990-P $10 American Gold Eagle 1/4 Oz Gold PR70 DCAM ICG,136034375949,"Dec 27, 2025","$1,237.50",$0.00,,,Fixed price,https://www.ebay.com/itm/136034375949,2
1997-W $10 American Gold Eagle - 1/4 Oz Gold PF70 UCAM NGC,136312719573,"Jan 28, 2026","$1,395.95",$0.00,,,Fixed price,https://www.ebay.com/itm/136312719573,2
,,"Jan 12, 2026","$1,976.88",$9.45,,,Fixed price,,5
1994-W $10 American Gold Eagle - 1/4 Oz Gold PF70 UCAM NGC,136533826859,"Apr 9, 2026","$1,422.95",$0.00,,,Fixed price,https://www.ebay.com/itm/136533826859,2
1/4 oz American Eagle $10 Coin Bezel Pendant Prong Set Edge in 14k Yellow Gold,136562166035,"Feb 16, 2026",$320.49,$0.00,,,Fixed price,https://www.ebay.com/itm/136562166035,2
1998 $10 American Gold Eagle 1/4 Oz MS70 PCGS Blue Label,136670551817,"Dec 17, 2025","$1,400.00",$0.00,,,Fixed price,https://www.ebay.com/itm/136670551817,3
2008-W $10 Burnished Gold Eagle 1/4 Oz Gold MS70 NGC,136716419309,"Apr 7, 2026","$1,800.00",$0.00,,,Fixed price,https://www.ebay.com/itm/136716419309,2
2007-W $10 Burnished Gold Eagle 1/4 Oz Gold MS70 NGC,136716506242,"Jan 6, 2026","$1,262.50",$0.00,,,Fixed price,https://www.ebay.com/itm/136716506242,2
2026 $10 1/4-oz American Gold Eagle PCGS MS70 FDOI Statue of Liberty Frame,136881905223,"Mar 31, 2026","$1,552.25",$0.00,,,Fixed price,https://www.ebay.com/itm/136881905223,2
1987 1/4 oz American Gold Eagle BU (MCMLXXXVII),141849867175,"Apr 3, 2026","$1,320.39",$0.00,,,Fixed price,https://www.ebay.com/itm/141849867175,2
2015 1 oz American Gold Eagle BU,141849921915,"Mar 28, 2026","$4,745.95",$0.00,,,Fixed price,https://www.ebay.com/itm/141849921915,2
2004 1/4 oz American Gold Eagle MS-69 PCGS,144181219210,"Mar 3, 2026","$1,494.05",$0.00,,,Fixed price,https://www.ebay.com/itm/144181219210,2
2026 $10 1/4-oz American Gold Eagle NGC MS69 Brown Label,147051968191,"Mar 23, 2026","$1,376.54",$0.00,,,Fixed price,https://www.ebay.com/itm/147051968191,2
"1/4 oz Proof American Gold Eagle NGC PF70 UCAM (Random Year, Label)",155429887757,"Feb 10, 2026","$1,445.41",$0.00,,,Fixed price,https://www.ebay.com/itm/155429887757,2
1986 1/4 oz American Gold Eagle Coin,155436703368,"Jan 29, 2026","$1,433.35",$0.00,,,Fixed price,https://www.ebay.com/itm/155436703368,3
,,"Oct 31, 2025","$1,264.99",$9.85,,,Fixed price,,2
,,"Oct 29, 2025","$1,050.00",$0.00,,,Fixed price,,4
2026-W 1/4 Oz GOLD $10 250TH ANNIVERSARY AMERICAN EAGLE LIBERTY BELL Proof Coin.,168233369236,"Apr 9, 2026","$2,099.95",$0.00,,,Fixed price,https://www.ebay.com/itm/168233369236,2
2015-P $10 Face 1/4 oz Gold American Mint Uncirculated Coin .99 Fine Gold,168280306568,"Apr 8, 2026","$1,300.00",$12.99,,,Fixed price,https://www.ebay.com/itm/168280306568,2
2024 $10 American Gold Eagle 1/4 oz PCGS MS70 Blue Label,176061827289,"Jan 18, 2026","$1,498.68",$0.00,,,Fixed price,https://www.ebay.com/itm/176061827289,3
2025 $10 American Gold Eagle 1/4 oz NGC MS70 ER Blue Label,176710640886,"Apr 1, 2026","$1,573.83",$0.00,,,Fixed price,https://www.ebay.com/itm/176710640886,2
2025 $10 American Gold Eagle 1/4 oz NGC MS70 FDI ALS Label,176710660450,"Nov 18, 2025","$1,363.01",$0.00,,,Fixed price,https://www.ebay.com/itm/176710660450,3
2025 $10 American Gold Eagle 1/4 oz PCGS MS70 FS Flag Label,176710663107,"Dec 9, 2025","$1,387.87",$0.00,,,Fixed price,https://www.ebay.com/itm/176710663107,2
2025 $10 American Gold Eagle 1/4 oz NGC MS69 ER Black Label,176710679041,"Dec 18, 2025","$1,367.30",$0.00,,,Fixed price,https://www.ebay.com/itm/176710679041,3
2022 1/4 oz American Gold Eagle Coin (BU),177114926641,"Mar 23, 2026","$1,322.14",$0.00,,,Fixed price,https://www.ebay.com/itm/177114926641,2
2018 $10 American Gold Eagle 1/4 oz PCGS MS70 First Strike Made in USA Label,177183499311,"Oct 25, 2025","$1,163.33",$0.00,,,Fixed price,https://www.ebay.com/itm/177183499311,2
2023 1/4 oz American Gold Eagle Coin NGC MS69 ER,177371359936,"Jan 20, 2026","$1,276.60",$0.00,,,Fixed price,https://www.ebay.com/itm/177371359936,2
2026 $10 American Gold Eagle 1/4 oz NGC MS69 ER ALS Label,177706423933,"Feb 24, 2026","$1,491.22",$0.00,,,Fixed price,https://www.ebay.com/itm/177706423933,2
2026 $10 American Gold Eagle 1/4 oz PCGS MS70 FS Blue Label,177706423963,"Feb 18, 2026","$1,502.34",$0.00,,,Fixed price,https://www.ebay.com/itm/177706423963,2
Lot of 2 Gold 2025 Gold 1/4 oz Gold American Eagle $10 US Mint Gold Eagle Coins,194711691872,"Jan 26, 2026","$2,641.66",$0.00,,,Fixed price,https://www.ebay.com/itm/194711691872,2
1/4 oz AMERICAN GOLD EAGLE VELVET FLIP TOP PRESENTATION BOX & SLEEVE,203511276780,"Mar 9, 2026",$11.66,$4.60,,,Fixed price,https://www.ebay.com/itm/203511276780,3
Empty US Mint American Gold American Eagle 1/4 oz. Coin Tube - Holds 40 Coins,204045916498,"Feb 12, 2026",$10.48,$0.00,,,Fixed price,https://www.ebay.com/itm/204045916498,2
2024 $10 American Gold Eagle 1/4 oz NGC MS69 Brown Label,204558419368,"Apr 8, 2026","$1,362.13",$0.00,,,Fixed price,https://www.ebay.com/itm/204558419368,2
2026 $10 American Gold Eagle 1/4 oz NGC MS70 FDI First Label,205945158348,"Mar 27, 2026","$1,423.80",$0.00,,,Fixed price,https://www.ebay.com/itm/205945158348,2
2026-W Proof American $10 American Gold Eagle 1/4 oz NGC PF70UC FDI First Label,206146150569,"Apr 9, 2026","$2,295.00",$0.00,,,Fixed price,https://www.ebay.com/itm/206146150569,2
2005 1/4 Ounce American Gold Eagle $10 NGC MS70 NGC Brown Label,226782772619,"Jan 25, 2026","$1,317.50",$0.00,,,Fixed price,https://www.ebay.com/itm/226782772619,2
"2021 MS-70 $10 T- 1 GOLD EAGLE, SCARCE EVERHART SIGNED LEAD SCULPTOR LABEL",227129120337,"Jan 29, 2026","$1,374.95",$4.50,,,Fixed price,https://www.ebay.com/itm/227129120337,2
1989 1/4 OZ $10 Gold American Eagle Gem BU,236582262037,"Jan 16, 2026","$1,368.75",$0.00,,,Fixed price,https://www.ebay.com/itm/236582262037,4
One 2016 1/4 oz Gold American Eagle $10 Coin BU From US Mint Tube In Flip,236606475888,"Jan 29, 2026","$1,509.95",$5.45,,,Fixed price,https://www.ebay.com/itm/236606475888,2
2026-W Proof Gold Eagle 250 Liberty Bell 4-Coin Set AR NGC PF70 (1776-2026),257370580350,"Mar 28, 2026","$17,570.38",$0.00,,,Fixed price,https://www.ebay.com/itm/257370580350,2
Coin Capsule for Gold 1/4 oz American Eagle Coin on Card (NEW),265508059494,"Apr 10, 2026",$2.50,$3.75,,,Fixed price,https://www.ebay.com/itm/265508059494,2
2026 W $10 1/4 oz Gold American Eagle Proof Liberty Bell Privy Dual Date OGP COA,277872719980,"Apr 9, 2026","$1,645.00",$0.00,,,Fixed price,https://www.ebay.com/itm/277872719980,2
2016 1/4 oz Gold American Eagle $10 Coin BU From US Mint Tube,296435124866,"Jan 28, 2026","$1,387.45",$0.00,,,Fixed price,https://www.ebay.com/itm/296435124866,4
,,"Nov 29, 2025","$3,502.50",$9.99,,,Fixed price,,2
,,"Jan 9, 2026","$1,335.00",$0.00,,,Fixed price,,2
2021 $25 1/2 oz American Gold Eagle Type 1 NGC MS70 ER Family Of Eagles Label,306700855912,"Feb 2, 2026","$2,543.27",$0.00,,,Fixed price,https://www.ebay.com/itm/306700855912,2
2024 $10 American Gold Eagle 1/4 oz PCGS MS70 FS Trump 45th President Label,314992752677,"Feb 26, 2026","$1,603.95",$0.00,,,Fixed price,https://www.ebay.com/itm/314992752677,2
2024 $10 American Gold Eagle 1/4 oz NGC MS69 ER Blue Label,314994921981,"Feb 28, 2026","$1,438.21",$0.00,,,Fixed price,https://www.ebay.com/itm/314994921981,2
2021 $10 Type 1 American Gold Eagle 1/4 oz PCGS MS70 FS Flag Label,316668307091,"Apr 9, 2026","$1,470.47",$0.00,,,Fixed price,https://www.ebay.com/itm/316668307091,2
2026 $10 American Gold Eagle 1/4 oz PCGS MS70 FS Flag Label,317694001308,"Feb 13, 2026","$1,446.61",$0.00,,,Fixed price,https://www.ebay.com/itm/317694001308,2
1989-P $10 American Gold Eagle - 1/4 Oz Gold PF70 UCAM NGC,365896119681,"Feb 2, 2026","$1,474.98",$0.00,,,Fixed price,https://www.ebay.com/itm/365896119681,2
2024-W $10 American Gold Eagle 1/4 Oz 0.25 Oz Gold PF70 UCAM NGC,365896119683,"Oct 21, 2025","$1,234.98",$0.00,,,Fixed price,https://www.ebay.com/itm/365896119683,2
1986 $10 American Gold Eagle MS69 PCGS,388082898576,"Feb 10, 2026","$1,471.25",$0.00,,,Fixed price,https://www.ebay.com/itm/388082898576,2
1/4 oz Proof American Gold Eagle Coin PCGS PR69 DCAM (Random Year),388386172930,"Jan 27, 2026","$1,315.78",$0.00,,,Fixed price,https://www.ebay.com/itm/388386172930,2
2026 $10 1/4-oz American Gold Eagle NGC MS70 Black Label,389411731724,"Mar 31, 2026","$1,489.43",$0.00,,,Fixed price,https://www.ebay.com/itm/389411731724,2
