Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2021 $25 Type 2 American Gold Eagle 1/2 oz Brilliant Uncirculated,313603218840,"Mar 31, 2026","$2,513.05",$0.00,,,Fixed price,https://www.ebay.com/itm/313603218840
2021-W $5 American Gold Eagle Type 1 DC Mint 1/10 Oz PF70 UCAM NGC Low Pop,127406863670,"Apr 1, 2026",$659.98,$0.00,,,Fixed price,https://www.ebay.com/itm/127406863670
2021 $50 American Gold Eagle (Type 2) 1 oz PCGS MS70 - First Day Issue,127719473001,"Mar 6, 2026","$5,247.50",$7.00,,,Fixed price,https://www.ebay.com/itm/127719473001
2021 1 oz American Gold Eagle (Type 2) MS-70 PCGS (FDI),114824983922,"Mar 8, 2026","$5,644.62",$0.00,,,Fixed price,https://www.ebay.com/itm/114824983922
2021 W $10 Type 2 American Gold Eagle 1/4 oz NGC FDI First Label,127727224463,"Mar 8, 2026","$1,300.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127727224463
2021-W 1/10 oz American Gold Eagle Type 2 MS-70 PCGS FDI,127727319078,"Mar 8, 2026",$500.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127727319078
🪙🪙 2021 (1) 1 oz AMERICAN GOLD EAGLE (TYPE 2) - 2 Available 🪙🪙,127729531269,"Mar 10, 2026","$5,254.76",$0.00,,,Fixed price,https://www.ebay.com/itm/127729531269
2021-W $25 American Gold Eagle Type 1 DC Mint 1/2 Oz PF70 NGC Low Pop *9339,135725496713,"Apr 4, 2026","$2,850.00",$0.00,,,Fixed price,https://www.ebay.com/itm/135725496713
US Mint 2021 PCGS MS70 1/10 oz Gold American Eagle Type 2 - Signed Paul Krause,137163521629,"Mar 24, 2026",$450.00,$12.95,,,Fixed price,https://www.ebay.com/itm/137163521629
US Mint 2021 PCGS MS70 1/10 oz Gold American Eagle Type 2 Signed Andre Dawson,137166565502,"Mar 25, 2026",$465.00,$19.95,,,Fixed price,https://www.ebay.com/itm/137166565502
2021 1/10 oz American Gold Eagle Coin BU (Type 1),144333626556,"Mar 27, 2026",$558.31,$0.00,,,Fixed price,https://www.ebay.com/itm/144333626556
US Mint 2021 PCGS MS70 1/10 oz Gold American Eagle Type 2 Signed Rudy Ruettiger,147221405371,"Mar 24, 2026",$450.00,$12.95,,,Fixed price,https://www.ebay.com/itm/147221405371
US Mint 2021 PCGS MS70 1/10 oz Gold American Eagle Type 2 Signed Nate Archibald,147223550968,"Mar 25, 2026",$480.00,$19.95,,,Fixed price,https://www.ebay.com/itm/147223550968
2021 W $5 1/10 Oz GOLD AMERICAN EAGLE PROOF COIN Type 2 NGC PF70 Ultra Cameo,167523230438,"Mar 10, 2026",$649.99,$5.00,,,Fixed price,https://www.ebay.com/itm/167523230438
2021 $5 1/10TH Oz AMERICAN GOLD EAGLE T2 Type 2 PCGS MS70 REAGAN LEGACY FDOI,168171592625,"Mar 17, 2026",$585.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168171592625
2021 W $5 1/10 Oz GOLD AMERICAN EAGLE PROOF COIN Type 1 NGC PF70 Ultra Cameo,168172278326,"Mar 10, 2026",$659.99,$5.00,,,Fixed price,https://www.ebay.com/itm/168172278326
2021-W American Eagle 1/10 Ounce Gold Proof Coin Type 2 Whit Box And COA,168187403838,"Mar 9, 2026",$575.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168187403838
2021 Gold Eagle G$5 Type 1 NGC MS70 First Day of Issue,168259819104,"Mar 30, 2026",$550.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168259819104
2021 1OZ. $50 PCGS MS70 Gold Eagle - Type 1,177988050104,"Mar 24, 2026","$4,700.00",$5.07,,,Fixed price,https://www.ebay.com/itm/177988050104
2021 US Gold Eagles 1/10th $5 Nice Unc Type 2,188205251097,"Apr 2, 2026",$535.07,$4.99,,,Auction,https://www.ebay.com/itm/188205251097
2021 1/10 oz Gold American Eagle $5 Type 2 NGC MS 70 First Day of Issue,198150365162,"Mar 9, 2026",$584.00,$0.00,,,Auction,https://www.ebay.com/itm/198150365162
2021-W $10 Gold Eagle Type 2 Unfinished Proof Dies Error Perfect looking coin!,206120796254,"Mar 18, 2026","$1,500.00",$7.26,,,Auction,https://www.ebay.com/itm/206120796254
2021 G$5 1/10 oz Gold American Eagle - Type 2 - Reagan - NGC MS 70 - SKU-G6110,227222352562,"Mar 25, 2026",$665.00,$12.50,,,Fixed price,https://www.ebay.com/itm/227222352562
2021 1/4 oz American Gold Eagle Type 1 PCGS MS70 #1,236663125276,"Mar 8, 2026","$1,475.00",$0.00,,,Auction,https://www.ebay.com/itm/236663125276
2021 1/4 oz American Gold Eagle Type 1 PCGS MS70 #2,236663127661,"Mar 8, 2026","$1,477.00",$0.00,,,Auction,https://www.ebay.com/itm/236663127661
2021W Type 2 American Gold Eagle $10 Edmond C Moy Signature NGC PF 70 UCAM,257382666885,"Mar 8, 2026","$1,352.00",$3.95,,,Auction,https://www.ebay.com/itm/257382666885
2021 SILVER EAGLE TYPE 2 FIRST DAY OF ISSUE PCGS MS70 GOLD FOIL LABEL,257420271583,"Mar 28, 2026",$100.00,$7.00,,,Auction,https://www.ebay.com/itm/257420271583
2021 $5 Gold Eagle Type 2 1/10 oz First Day Mercanti Signed Black Core NGC MS 70,277821459713,"Mar 30, 2026",$560.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277821459713
ONE 2021 GOLD EAGLE 1/10 OZ $5 COIN TYPE 1 IN CAPSULE LAST YEAR OF THIS DESIGN,297731512113,"Mar 22, 2026",$597.77,$0.00,,,Fixed price,https://www.ebay.com/itm/297731512113
2021 $5 American Gold Eagle Type 2 1/10 oz NGC MS70 + Uncirculated Silver,306812756853,"Mar 16, 2026",$650.00,$0.00,,,Auction,https://www.ebay.com/itm/306812756853
2021 $10 Type 1 American Gold Eagle 1/4 oz Brilliant Uncirculated,316514005096,"Mar 27, 2026","$1,355.72",$0.00,,,Fixed price,https://www.ebay.com/itm/316514005096
2021 $10 Type 1 American Gold Eagle 1/4 oz Brilliant Uncirculated,327030639474,"Mar 6, 2026","$1,375.00",$15.79,,,Fixed price,https://www.ebay.com/itm/327030639474
2021-W Proof 1/2 oz American Gold Eagle Type 2 ANACS PR70 DCAM,336500273237,"Apr 5, 2026","$2,509.00",$0.00,,,Auction,https://www.ebay.com/itm/336500273237
2021-W $5 American Gold Eagle Type 2 DC Mint 1/10 Oz PF70 UCAM NGC Low Pop,365896091669,"Mar 21, 2026",$650.00,$0.00,,,Fixed price,https://www.ebay.com/itm/365896091669
2021-W $5 American Gold Eagle Type 1 DC Mint 1/10 Oz PF70 UCAM NGC Low Pop *1816,366238960163,"Mar 8, 2026",$606.00,$0.00,,,Auction,https://www.ebay.com/itm/366238960163
2021 $5 1/10oz Gold American Eagle Type 2 NGC MS70 First Day Of Issue,406739984065,"Mar 8, 2026",$580.00,$20.00,,,Auction,https://www.ebay.com/itm/406739984065
2021 S American Silver Eagle TYPE 2 PCGS PR69DCAM First Strike Gold Shield,406760706690,"Mar 12, 2026",$112.00,$4.88,,,Fixed price,https://www.ebay.com/itm/406760706690
2021-W $5 American Gold Eagle Type 2 1/10 Oz Gold PR10 Ultra Cameo NGCX,127631726315,"Jan 25, 2026",$603.00,$0.00,,,Auction,https://www.ebay.com/itm/127631726315,1
2021 1/2 oz American Gold Eagle (Type 2) MS-70 NGC (FDI),127637033936,"Feb 4, 2026","$2,809.09",$0.00,,,Fixed price,https://www.ebay.com/itm/127637033936,1
2021 American Silver Eagles Type 1 Type 2 Set PCGS MS70 First Strike Gold Shield,127653646508,"Jan 31, 2026",$299.00,$6.95,,,Fixed price,https://www.ebay.com/itm/127653646508,1
American Eagle 2021 One-Quarter Ounce Gold Proof Coin Type 1 West Point (W21EDN),135067201194,"Jan 23, 2026","$1,349.95",$9.95,,,Fixed price,https://www.ebay.com/itm/135067201194,1
2021-W $25 American Gold Eagle Type 2 DC Mint 1/2 Oz PF70 NGC Low Pop *9355,135725454440,"Jan 28, 2026","$2,995.95",$0.00,,,Fixed price,https://www.ebay.com/itm/135725454440,1
,,"Nov 4, 2025",$445.00,$0.00,,,Auction,,1
,,"Oct 29, 2025",$425.00,$5.20,,,Fixed price,,1
2021 $25 American Gold Eagle Type 2 Jennie Norris 1/2 Oz FDOI MS70 NGC *9354,136772155699,"Jan 13, 2026","$2,450.00",$0.00,,,Fixed price,https://www.ebay.com/itm/136772155699,1
2021-W $10 American Gold Eagle Type 2 1/4 Oz Early Issue PR70 DCAM PCGS *0705,136905279494,"Jan 28, 2026","$1,400.00",$0.00,,,Fixed price,https://www.ebay.com/itm/136905279494,1
,,"Jan 9, 2026",$569.95,$0.00,,,Auction,,1
2021-W T2 $25 American Gold Eagle Type 2 - 1/2 Oz Gold PR70 DCAM PCGS,136949335880,"Jan 22, 2026","$2,750.00",$0.00,,,Fixed price,https://www.ebay.com/itm/136949335880,1
GEM PROOF 2021-W $5 American Gold Eagle Type 2 1/10 Oz PCGS PR70DCAM,136972559499,"Feb 14, 2026",$701.24,$0.00,,,Fixed price,https://www.ebay.com/itm/136972559499,1
2021-W Proof $5 Type 1 American Gold Eagle 1/10 oz ICG PR70 DCAM,137038006913,"Feb 22, 2026",$600.00,$5.99,,,Fixed price,https://www.ebay.com/itm/137038006913,1
2021-W $5 American Gold Eagle Type 1 Mercanti 1/10 Oz PF70 UCAM NGC *0097,137045843307,"Feb 17, 2026",$650.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137045843307,1
,,"Oct 16, 2025",$474.95,$0.00,,,Fixed price,,1
2021 Gold American Eagle $5 Type 1 ANACS MS70 1st Strike,146565462177,"Feb 4, 2026",$625.00,$0.00,,,Fixed price,https://www.ebay.com/itm/146565462177,1
,,"Dec 26, 2025",$525.00,$0.00,,,Fixed price,,1
,,"Oct 21, 2025",$475.00,$0.00,,,Auction,,1
,,"Nov 16, 2025","$2,865.00",$35.00,,,Fixed price,,1
"2021 1 oz American Gold Eagle (Type 2) MS-70 NGC (FR, Gold Label)",147011426391,"Dec 13, 2025","$4,737.47",$0.00,,,Fixed price,https://www.ebay.com/itm/147011426391,1
2021 $10 1/4 oz American Gold Eagle – Type 2 – Brilliant Uncirculated,147161858270,"Feb 20, 2026","$1,360.00",$5.39,,,Fixed price,https://www.ebay.com/itm/147161858270,1
2021-American Eagle W Proof Gold with Mint Box and C.O.A.-Type-2,147165749962,"Feb 21, 2026",$575.00,$12.00,,,Fixed price,https://www.ebay.com/itm/147165749962,1
2021 1/2 oz American Gold Eagle Coin (Type 2),155244617450,"Dec 7, 2025","$2,354.59",$0.00,,,Fixed price,https://www.ebay.com/itm/155244617450,1
2021 1/10 oz American Gold Eagle Coin (Type 1),157067317416,"Jan 23, 2026",$607.15,$0.00,,,Fixed price,https://www.ebay.com/itm/157067317416,1
2021-W $10 Gold Eagle 1/4 oz Type 2 Proof NGC PF69 Ultra Cameo - T-2 Reverse,157172763347,"Jan 10, 2026","$1,599.99",$0.00,,,Fixed price,https://www.ebay.com/itm/157172763347,1
,,"Dec 1, 2025",$449.99,$0.00,,,Fixed price,,1
,,"Dec 17, 2025",$454.00,$0.00,,,Auction,,1
2021 $5 Gold Eagle Type 2 First Year Of Issue! BU Gem!,157635730275,"Feb 16, 2026",$600.00,$7.70,,,Fixed price,https://www.ebay.com/itm/157635730275,1
2021 $5 AMERICAN GOLD EAGLE TYPE 2 NGC MS70 PERFECTION GUARANTEED!,157676448350,"Feb 14, 2026",$560.00,$0.00,,,Auction,https://www.ebay.com/itm/157676448350,1
,,"Jan 11, 2026","$2,775.00",$25.00,,,Fixed price,,1
2021-W 1/10 Oz GOLD $5 AMERICAN EAGLE PCGS PR70DCAM Type 1 Gold Shield Coin.,166888650265,"Jan 12, 2026",$719.95,$0.00,,,Fixed price,https://www.ebay.com/itm/166888650265,1
2021-W 1/10 Oz GOLD $5 AMERICAN EAGLE Type 2 PCGS PR69DCAM Gold Shield Coin.,166888650805,"Jan 29, 2026",$617.45,$0.00,,,Fixed price,https://www.ebay.com/itm/166888650805,1
2021-W 1/10 Oz GOLD $5 AMERICAN EAGLE Type 2 PCGS PR70DCAM Gold Shield Coin.,166888653491,"Jan 16, 2026",$719.95,$0.00,,,Fixed price,https://www.ebay.com/itm/166888653491,1
,,"Dec 10, 2025","$3,600.00",$0.00,,,Fixed price,,1
,,"Oct 16, 2025",$100.00,$10.00,,,Fixed price,,1
,,"Oct 24, 2025","$2,700.00",$19.99,,,Fixed price,,1
2021 W $5 1/10 Oz GOLD AMERICAN EAGLE PROOF COIN +BOX & COA Inaugaus Year Type 2,167877585059,"Dec 31, 2025",$539.99,$5.00,,,Fixed price,https://www.ebay.com/itm/167877585059,1
,,"Nov 8, 2025","$1,050.00",$0.00,,,Fixed price,,1
,,"Dec 20, 2025","$1,050.00",$19.99,,,Auction,,1
,,"Dec 20, 2025",$445.00,$4.00,,,Auction,,1
,,"Jan 10, 2026",$494.85,$5.15,,,Auction,,1
2021 $5 MS70 Gold Eagle Type 1 First Strike,168078634647,"Jan 13, 2026",$485.00,$5.15,,,Auction,https://www.ebay.com/itm/168078634647,1
2021 $5 GOLD EAGLE TYPE 2 - ONLY 30 PCGS FDOI BALAN GRADED WORLDWIDE MS70 # GMN,168148904972,"Feb 11, 2026",$480.00,$5.77,,,Auction,https://www.ebay.com/itm/168148904972,1
"2021 W AMERICAN EAGLE 1/10 oz. OUNCE $5 GOLD PROOF BOX, TYPE 2 COA - NO COINS",168240798184,"Mar 18, 2026",$22.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168240798184,1
2021 W 1/10 oz Proof Gold Eagle American Eagle Tenth Ounce G$5 Type 1 T-1 Rare,168303850437,"Apr 12, 2026",$700.00,$5.39,,,Fixed price,https://www.ebay.com/itm/168303850437,1
reduced 2021-W type-2 1/10 American Eagle One-Tenth Ounce Gold Proof #21EEN frsh,174867054384,"Jan 25, 2026",$588.00,$0.00,,,Fixed price,https://www.ebay.com/itm/174867054384,1
,,"Oct 18, 2025",$477.89,$7.89,,,Fixed price,,1
"2021-W Proof $5 Type 2 American Gold Eagle 1/10 oz Box, OGP &amp; COA",176847219062,"Oct 20, 2025",$547.68,$0.00,,,Fixed price,https://www.ebay.com/itm/176847219062,1
2021-W (Type 1) $50 1oz Gold Eagle Proof - Flag & FDOI Label - PCGS PR70 DCAM,177620294736,"Jan 13, 2026","$5,577.00",$0.00,,,Fixed price,https://www.ebay.com/itm/177620294736,1
GEM PROOF 2021-W $5 American Gold Eagle Type 2 1/10 Oz IGC PR70 DCAM,177869754244,"Feb 21, 2026",$595.00,$7.95,,,Auction,https://www.ebay.com/itm/177869754244,1
,,"Oct 19, 2025",$504.99,$5.00,,,Fixed price,,1
,,"Dec 7, 2025",$66.99,$20.00,,,Fixed price,,1
2021 Type One Proof 1/2 oz Gold American Eagle Box and COA - No Coin,186809540980,"Oct 24, 2025",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/186809540980,1
2021 $5 Gold Eagle Type 1 PCGS Hard To Find Last Year 30YR Design MS70 # IAE,187318230071,"Feb 20, 2026","$1,297.00",$0.00,,,Fixed price,https://www.ebay.com/itm/187318230071,1
,,"Nov 5, 2025",$750.00,$0.00,,,Fixed price,,1
,,"Nov 27, 2025","$5,099.99",$25.00,,,Fixed price,,1
,,"Nov 10, 2025","$4,338.00",$4.99,,,Auction,,1
,,"Nov 30, 2025",$455.00,$2.02,,,Fixed price,,1
2021 US Gold Eagle 1/2 oz. $25 Type 2 FD of Release NGC MS70 Moy Signed,187961017599,"Jan 23, 2026","$2,611.00",$4.99,,,Auction,https://www.ebay.com/itm/187961017599,1
2021 1/10 oz American Gold Eagle Coin BU (Type 1),187975918678,"Jan 22, 2026",$510.00,$0.00,,,Fixed price,https://www.ebay.com/itm/187975918678,1
2021 AMERICAN SILVER EAGLE - Type 1 - ENHANCED WITH 24KT GOLD Plating with COA,188012021260,"Feb 19, 2026",$175.00,$0.00,,,Fixed price,https://www.ebay.com/itm/188012021260,1
GOLD**2021 American Gold Eagle Type 2 $5 1/10th Ounce Gold Coin PCGS Graded MS70,188016258092,"Feb 23, 2026",$625.00,$5.68,,,Fixed price,https://www.ebay.com/itm/188016258092,1
2021 gold eagle 1/10 oz FDI NGC MS70 type 1 #006,188039154112,"Feb 8, 2026",$579.00,$4.95,,,Fixed price,https://www.ebay.com/itm/188039154112,1
2021 gold eagle 1/10 oz FDI NGC MS70 type 2 - #004,188039171602,"Feb 8, 2026",$579.00,$4.95,,,Fixed price,https://www.ebay.com/itm/188039171602,1
GEM PROOF 2021-W $5 American Gold Eagle Type 2 1/10 Oz IGC PR70DCAM,188066628831,"Feb 21, 2026",$554.00,$8.10,,,Auction,https://www.ebay.com/itm/188066628831,1
2021 $5 Gold American Eagle NGC MS69 Type 1 1/10oz,188068644516,"Feb 27, 2026",$585.00,$4.50,,,Fixed price,https://www.ebay.com/itm/188068644516,1
"2021 $5 Gold American Eagle Type 1 1/10oz, RARE!!!",188098654129,"Mar 1, 2026",$591.00,$0.00,,,Auction,https://www.ebay.com/itm/188098654129,1
,,"Nov 29, 2025","$1,103.00",$5.95,,,Auction,,1
,,"Dec 18, 2025","$1,175.00",$4.65,,,Auction,,1
2021 $10 Quarter-Ounce American Gold Eagle Type 2 Coin Graded MS70 First Day,198069472633,"Feb 7, 2026","$1,300.00",$8.10,,,Auction,https://www.ebay.com/itm/198069472633,1
2021 $1 Type 2 Silver Eagle Black Ruthenium & Gold MS 63,198074183116,"Feb 7, 2026",$111.01,$6.24,,,Auction,https://www.ebay.com/itm/198074183116,1
"2021 American Gold Eagle $5 (1/10 oz Fine, Type 2) Graded A Perfect MS70 by ICG",198077182584,"Feb 8, 2026",$550.00,$15.00,,,Auction,https://www.ebay.com/itm/198077182584,1
2021 $1 Type 2 Silver Eagle Black Ruthenium & Gold MS 62,198082404590,"Feb 10, 2026",$110.50,$6.24,,,Auction,https://www.ebay.com/itm/198082404590,1
,,"Oct 17, 2025","$4,450.00",$0.00,,,Fixed price,,1
2021-W American Eagle 1/2 Oz Half Ounce Gold Proof Coin $25 Box/COA 21ECN Type-2,203813077318,"Feb 5, 2026","$3,350.00",$0.00,,,Fixed price,https://www.ebay.com/itm/203813077318,1
,,"Dec 28, 2025","$2,195.00",$0.00,,,Fixed price,,1
2021 $5 Type 1 American Gold Eagle 1/10 oz Brilliant Uncirculated,205032910392,"Nov 6, 2025",$534.16,$0.00,,,Fixed price,https://www.ebay.com/itm/205032910392,1
,,"Oct 16, 2025","$2,162.00",$0.00,,,Fixed price,,1
,,"Dec 24, 2025",$498.00,$6.25,,,Fixed price,,1
,,"Nov 6, 2025","$2,195.00",$0.00,,,Fixed price,,1
,,"Nov 2, 2025","$1,139.00",$0.00,,,Fixed price,,1
,,"Jan 11, 2026","$4,750.00",$0.00,,,Fixed price,,1
,,"Nov 9, 2025",$549.99,$0.00,,,Fixed price,,1
,,"Nov 20, 2025",$70.00,$9.30,,,Auction,,1
,,"Dec 14, 2025",$482.00,$0.00,,,Auction,,1
,,"Dec 14, 2025","$3,300.00",$0.00,,,Auction,,1
2021 W 1/10 oz Proof Gold Eagle ~ ANACS PR70 DCAM ~ G$5 Type 1 RARE,205963109236,"Jan 28, 2026",$589.96,$10.00,,,Fixed price,https://www.ebay.com/itm/205963109236,1
2021-W Gold Eagle-Type 2 $10 1/4 Oz Unfinished Proof Dies PCGS MS 69 RARE,205965469092,"Jan 17, 2026","$1,527.00",$0.00,,,Auction,https://www.ebay.com/itm/205965469092,1
2021-W Gold Eagle Type-2 $10 1/4 oz First Day Of Issue PCGS PR69DCAM,205965488742,"Jan 17, 2026","$1,285.00",$0.00,,,Auction,https://www.ebay.com/itm/205965488742,1
2021 1/10 oz American Gold Eagle (Type 2) MS-70 PCGS (FDI),205988814411,"Jan 28, 2026",$605.00,$0.00,,,Fixed price,https://www.ebay.com/itm/205988814411,1
2021 $10 1/4 oz Gold American Eagle - Type 2 - Reagan - NGC MS 70 - SKU-G6130,206078594340,"Feb 28, 2026","$1,550.00",$12.50,,,Fixed price,https://www.ebay.com/itm/206078594340,1
2021 $5 1/10 oz Gold American Eagle Proof Type 2 - Reagan - NGC PF 70 UC - G6112,206078594342,"Feb 28, 2026",$665.00,$12.50,,,Fixed price,https://www.ebay.com/itm/206078594342,1
2021 W Eagle Gold $10 1/4 Oz Type 2 With W MS70 Proof Dies Jennie Norris Signed,206106516213,"Mar 5, 2026","$3,000.00",$10.00,,,Auction,https://www.ebay.com/itm/206106516213,1
,,"Oct 17, 2025",$500.00,$0.00,,,Fixed price,,1
,,"Oct 23, 2025",$485.00,$7.50,,,Fixed price,,1
Gilded Gold Type 2 2021 American Silver Eagle 1 oz .999 Fine Silver Coin,226820738118,"Feb 7, 2026",$194.99,$5.45,,,Fixed price,https://www.ebay.com/itm/226820738118,1
,,"Oct 29, 2025",$599.00,$0.00,,,Fixed price,,1
,,"Dec 17, 2025",$500.00,$4.95,,,Fixed price,,1
,,"Dec 3, 2025","$2,100.00",$0.00,,,Fixed price,,1
"2021-W 1/10 oz Coin, Gold, Proof, American Eagle Type 2, COA, OGP.",227112548854,"Jan 22, 2026",$550.00,$4.95,,,Fixed price,https://www.ebay.com/itm/227112548854,1
,,"Dec 12, 2025",$480.99,$12.71,,,Auction,,1
,,"Dec 28, 2025",$550.00,$9.90,,,Fixed price,,1
,,"Dec 15, 2025",$499.00,$0.00,,,Fixed price,,1
2021 Gold Eagle 1 Oz $50 Type-2 NGC MS70 First Day of Issue,227183788390,"Feb 23, 2026","$5,399.00",$0.00,,,Fixed price,https://www.ebay.com/itm/227183788390,1
2021 American Gold Eagle Type 2 1/2 oz $25 - NGC MS70 First Day Issue 1st Label,227186548716,"Jan 23, 2026","$2,600.00",$0.00,,,Fixed price,https://www.ebay.com/itm/227186548716,1
2021 Type 2 Eagle Portrait $5 Gold Eagle 1/10th Oz Ngc Ms 69,227197229617,"Jan 31, 2026",$490.00,$7.95,,,Fixed price,https://www.ebay.com/itm/227197229617,1
2021 G$5 1/10 oz Gold American Eagle - Type 1 - Don Everhart - NGC MS 70 - G6107,227222352559,"Mar 1, 2026",$665.00,$12.50,,,Fixed price,https://www.ebay.com/itm/227222352559,1
2021 $10 1/4 oz Gold American Eagle - Type 2 - Reagan - NGC MS 70 - SKU-G6129,227222352561,"Feb 28, 2026","$1,550.00",$0.50,,,Fixed price,https://www.ebay.com/itm/227222352561,1
2021-W G$10 1/4 oz Gold American Eagle Proof Type 2 Reagan - NGC PF 70 UC- G6135,227224077199,"Feb 28, 2026","$1,550.00",$0.50,,,Fixed price,https://www.ebay.com/itm/227224077199,1
,,"Nov 9, 2025",$465.00,$5.15,,,Fixed price,,1
,,"Jan 12, 2026",$229.97,$0.00,,,Fixed price,,1
2021 $5 Type 2 Gold American Eagle 1/10th Oz,236615636714,"Feb 16, 2026",$585.00,$0.00,,,Fixed price,https://www.ebay.com/itm/236615636714,1
BU 2021 T-2 Type 2 GOLD American Eagle. $5 - 1/10 oz. NGC MS70.,236667071758,"Mar 3, 2026",$532.00,$5.89,,,Fixed price,https://www.ebay.com/itm/236667071758,1
,,"Oct 30, 2025",$495.00,$4.87,,,Fixed price,,1
,,"Oct 29, 2025",$500.00,$0.00,,,Fixed price,,1
,,"Oct 15, 2025","$4,464.05",$0.00,,,Fixed price,,1
,,"Oct 20, 2025",$509.95,$0.00,,,Fixed price,,1
,,"Oct 23, 2025",$69.00,$8.10,,,Auction,,1
,,"Nov 22, 2025",$75.00,$6.00,,,Auction,,1
,,"Nov 23, 2025",$431.00,$0.00,,,Fixed price,,1
,,"Dec 26, 2025",$500.00,$10.00,,,Fixed price,,1
,,"Jan 10, 2026",$499.00,$8.00,,,Auction,,1
2021 $10.00 American Gold Eagle Coin! Type 1. 1/4 Oz. Gold Bullion! PCGS MS70!,257331816167,"Jan 28, 2026","$1,449.99",$0.00,,,Fixed price,https://www.ebay.com/itm/257331816167,1
2021 Gold Eagle 1 Oz Type-2 NGC MS70 First Day of Issue,257368495479,"Feb 19, 2026","$5,250.00",$13.71,,,Fixed price,https://www.ebay.com/itm/257368495479,1
,,"Oct 22, 2025",$925.00,$17.00,,,Fixed price,,1
,,"Nov 28, 2025",$70.00,$6.00,,,Auction,,1
,,"Dec 23, 2025","$1,224.95",$0.00,,,Fixed price,,1
2021 Type 2 5$ Gold 1/10 oz American Eagle NGC MS70 Ultra Cameo,267566272610,"Feb 4, 2026",$600.00,$15.00,,,Fixed price,https://www.ebay.com/itm/267566272610,1
2021 MS70 1/10oz Gold American Eagle Type-2 NGC Certified Mint Perfect,267582031666,"Feb 24, 2026",$565.00,$6.99,,,Fixed price,https://www.ebay.com/itm/267582031666,1
2021-W American Eagle 1/10th Oz Gold Proof Coin (21EEN) Type 2 Perfect,274945521554,"Jan 27, 2026",$550.00,$4.50,,,Fixed price,https://www.ebay.com/itm/274945521554,1
,,"Dec 24, 2025",$144.95,$4.95,,,Fixed price,,1
,,"Jan 9, 2026","$1,289.89",$0.00,,,Fixed price,,1
