,,"Feb 2, 2026",$12.30,$0.00,,,Fixed price,,19
1967 P Kennedy Half Dollar 40% SILVER *AU - ABOUT UNCIRCULATED* *FREE SHIPPING*,168083100851,"Jan 25, 2026",$13.49,$0.00,,,Fixed price,https://www.ebay.com/itm/168083100851
,,"Jan 25, 2026",$13.49,$0.00,,,Fixed price,,38
1967-P Kennedy Half Dollar US Silver Coin,236184230431,"Jan 23, 2026",$11.60,$2.59,,,Fixed price,https://www.ebay.com/itm/236184230431
,,"Jan 23, 2026",$11.60,$2.59,,,Fixed price,,41
1967 US Special Mint Set SMS 5 Coins with 40% Silver Kennedy Half Dollar and Box,376878208252,"Jan 20, 2026",$16.50,$0.00,,,Fixed price,https://www.ebay.com/itm/376878208252
,,"Jan 20, 2026",$16.50,$0.00,,,Fixed price,,5
Kennedy Half Dollar 40 % Silver 1966 1967 1968 1969 circulated,177771671627,"Jan 15, 2026",$12.54,$0.00,,,Fixed price,https://www.ebay.com/itm/177771671627
,,"Jan 15, 2026",$12.54,$0.00,,,Fixed price,,59
"Kennedy Half Dollar 40 % Silver 1965, 1966, 1967, 1968, OR 1969 50c Coin",127589581810,"Jan 14, 2026",$10.83,$5.49,,,Fixed price,https://www.ebay.com/itm/127589581810
,,"Jan 14, 2026",$10.83,$5.49,,,Fixed price,,144
1967 SMS NGC MS66 Kennedy Half Dollar 50C Special Mint Set Uncirculated Portrait,354442133042,"Jan 9, 2026",$24.85,$0.00,,,Fixed price,https://www.ebay.com/itm/354442133042
,,"Jan 8, 2026",$10.94,$0.00,,,Fixed price,
1967 KENNEDY HALF 40 % SILVER SMS UNCIRCULATED L@@K,254707171158,"Jan 5, 2026",$10.35,$0.00,,,Fixed price,https://www.ebay.com/itm/254707171158
1967 Kennedy Half Dollar BU Uncirculated Mint State 40% Silver 50c US Coin,365846505001,"Jan 5, 2026",$15.09,$0.00,,,Fixed price,https://www.ebay.com/itm/365846505001
,,"Dec 22, 2025",$39.51,$6.99,,,Fixed price,
,,"Dec 22, 2025",$175.00,$0.00,,,Fixed price,
,,"Dec 21, 2025",$8.86,$0.00,,,Fixed price,
,,"Dec 21, 2025",$8.02,$0.83,,,Fixed price,
,,"Dec 17, 2025",$16.50,$0.00,,,Fixed price,
,,"Dec 12, 2025",$8.73,$0.00,,,Fixed price,
,,"Dec 11, 2025",$8.41,$0.00,,,Fixed price,
,,"Dec 6, 2025",$28.55,$4.50,,,Fixed price,
,,"Dec 5, 2025",$7.99,$0.00,,,Fixed price,
,,"Dec 2, 2025",$9.00,$0.00,,,Fixed price,
1967 SMS 40% SILVER KENNEDY HALF DOLLAR,197463204012,"Nov 29, 2025",$9.68,$0.00,,,Fixed price,https://www.ebay.com/itm/197463204012
,,"Nov 23, 2025",$7.75,$0.00,,,Fixed price,
,,"Nov 19, 2025",$7.17,$0.67,,,Fixed price,
,,"Nov 16, 2025",$14.75,$0.00,,,Fixed price,
1967 BU Kennedy Half Dollar 40% Silver Brilliant Uncirculated,286925750930,"Nov 13, 2025",$8.75,$0.00,,,Fixed price,https://www.ebay.com/itm/286925750930
,,"Nov 2, 2025",$7.95,$0.00,,,Fixed price,
,,"Oct 28, 2025",$8.92,$0.00,,,Fixed price,
,,"Oct 28, 2025",$7.45,$0.00,,,Fixed price,
,,"Oct 19, 2025",$7.00,$0.00,,,Fixed price,
