Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1996 American Silver Eagle Coin - NGC MS69,376317198552,"Apr 5, 2026",$114.77,$0.00,,,Fixed price,https://www.ebay.com/itm/376317198552
PR70 1996-P DCAM American Silver Eagle PCGS Blue Label,135552580847,"Apr 2, 2026",$303.42,$0.00,,,Fixed price,https://www.ebay.com/itm/135552580847
1996 1 oz American Silver Eagle NGC MS 69,277797232587,"Mar 23, 2026",$120.00,$5.95,,,Fixed price,https://www.ebay.com/itm/277797232587
1996-P Proof American Silver Eagle Dollar $1 Box & COA US Mint Bullion OGP,145760685630,"Mar 25, 2026",$140.99,$0.00,,,Fixed price,https://www.ebay.com/itm/145760685630
[Removed] Item 317991754940,317991754940,"Mar 16, 2026",$10.00,$5.22,,,Fixed price,
1996-P American Silver Eagle PR70 DCAM ICG,126926421524,"Mar 29, 2026",$207.50,$0.00,,,Fixed price,https://www.ebay.com/itm/126926421524
1996 Silver American Eagle $1 Dollar - Uncirculated - Minor Imperfections,147071241552,"Mar 21, 2026",$122.99,$0.00,,,Fixed price,https://www.ebay.com/itm/147071241552
1996-P $1 AMERICAN SILVER PROOF EAGLE w/OGP & COA - FREE SHIPPING!,157793583137,"Apr 4, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157793583137
1996 1 oz American Silver Eagle Coin,177114693912,"Mar 21, 2026",$130.03,$0.00,,,Fixed price,https://www.ebay.com/itm/177114693912
"1996 SILVER EAGLE - 1oz .999 Pure - SPOTS, DINGS, CLOUDS ALL AVAILABLE ON THESE",236644986662,"Mar 28, 2026",$93.83,$5.95,,,Fixed price,https://www.ebay.com/itm/236644986662
1996 American Silver Eagle Dollar MS69 NGC Mint State 69,298140887509,"Mar 31, 2026",$120.75,$0.00,,,Fixed price,https://www.ebay.com/itm/298140887509
1996 AMERICAN SILVER EAGLE 1 OZ .999 FINE SILVER,318004682372,"Mar 16, 2026",$87.60,$5.60,,,Fixed price,https://www.ebay.com/itm/318004682372
1996 AMERICAN SILVER EAGLE 1 OZ .999 FINE SILVER,318039714758,"Mar 21, 2026",$85.00,$5.83,,,Fixed price,https://www.ebay.com/itm/318039714758
1996 AMERICAN SILVER EAGLE 1 OZ .999 FINE SILVER,318052899451,"Mar 25, 2026",$88.00,$5.35,,,Fixed price,https://www.ebay.com/itm/318052899451
1996 American Silver Eagle Uncirculated Bullion $1 Coin,365683750398,"Mar 30, 2026",$132.99,$0.00,,,Fixed price,https://www.ebay.com/itm/365683750398
1996 P American Silver Eagle Bullion Proof $1 Coin Collectible OGP COA,366122412295,"Mar 7, 2026",$127.99,$0.00,,,Fixed price,https://www.ebay.com/itm/366122412295
1996 US Liberty One Troy Pound 1lb .999 Silver Proof Eagle Coin. 021211,117039413752,"Mar 7, 2026","$1,449.95",$15.60,,,Fixed price,https://www.ebay.com/itm/117039413752
U.S. Mint 1996 American Eagle-(P) Proof Silver Dollar $1 Philadelphia,117059495043,"Mar 13, 2026",$155.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117059495043
1996 American Silver Eagle 1oz Beautiful Bullseye Rainbow Toning Toned Toner,117073191173,"Mar 6, 2026",$325.00,$5.00,,,Fixed price,https://www.ebay.com/itm/117073191173
1996 $1 American Silver Eagle 1 oz Uncirculated Coin .999 Fine,117078861001,"Mar 10, 2026",$124.99,$5.00,,,Fixed price,https://www.ebay.com/itm/117078861001
1996 American Silver Eagle 1 Troy Oz. .999 Fine Silver One Dollar Coin,117114187486,"Apr 4, 2026",$89.09,$0.00,,,Auction,https://www.ebay.com/itm/117114187486
1996-P American Silver Eagle $1 Proof 9.9 NGC X NGCX - Almost PERFECT,126578301308,"Mar 28, 2026",$130.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126578301308
1996 American Silver Eagle MS69 PCGS Struck Through *7602,126616081721,"Mar 8, 2026",$161.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126616081721
MS69 1996 American Silver Eagle PCGS Peripheral Toning *1660,127122312451,"Mar 7, 2026",$145.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127122312451
1996-P Proof American Silver Eagle Coin - W/Org. Pkg. One Troy oz .999 Bullion,127627979394,"Mar 12, 2026",$159.99,$5.15,,,Fixed price,https://www.ebay.com/itm/127627979394
1996 $1 AMERICAN SILVER EAGLE NGC MS69 FROM US MINT SEALED BOX LABEL GREEN CORE,127696396829,"Mar 7, 2026",$145.00,$5.62,,,Fixed price,https://www.ebay.com/itm/127696396829
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *292,127710835224,"Mar 7, 2026",$97.00,$0.00,,,Auction,https://www.ebay.com/itm/127710835224
1996 American Silver Eagle MS69 NGC Brown Label *4079,127710964358,"Mar 7, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127710964358
1996 American Silver Eagle MS69 NGC Brown Label *0106,127713295670,"Mar 8, 2026",$120.50,$0.00,,,Auction,https://www.ebay.com/itm/127713295670
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *255,127719278292,"Mar 11, 2026",$99.08,$0.00,,,Auction,https://www.ebay.com/itm/127719278292
1996 American Silver Eagle MS69 NGC Brown Label *7826,127723880605,"Mar 13, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127723880605
1996 MS69 $1 American Silver Eagle - Key Date ASE!,127728412279,"Mar 12, 2026",$107.50,$5.77,,,Fixed price,https://www.ebay.com/itm/127728412279
1996 American Silver Eagle MS69 NGC Brown Label *7641,127729844226,"Mar 16, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127729844226
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *612,127731806675,"Mar 17, 2026",$100.00,$0.00,,,Auction,https://www.ebay.com/itm/127731806675
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *610,127731976651,"Mar 17, 2026",$108.49,$0.00,,,Auction,https://www.ebay.com/itm/127731976651
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *606,127732148659,"Mar 17, 2026",$103.61,$0.00,,,Auction,https://www.ebay.com/itm/127732148659
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *601,127732278233,"Mar 17, 2026",$105.35,$0.00,,,Auction,https://www.ebay.com/itm/127732278233
1996 American Silver Eagle MS69 NGC Brown Label *9228,127732281872,"Mar 17, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127732281872
**KEY DATE **👉1996 AMERICAN SILVER EAGLE 1oz .999 LOWEST MINTAGE #3,225648367206,"Mar 1, 2026",$117.25,$7.02,,,Fixed price,https://www.ebay.com/itm/225648367206,4
,,"Dec 27, 2025",$84.95,$4.95,,,Fixed price,,4
"1996 $1 American Silver Eagle .999 NGC BRILLIANT UNCIRCULATED, Lowest Mintage",236506095593,"Jan 28, 2026",$119.24,$5.21,,,Fixed price,https://www.ebay.com/itm/236506095593,4
,,"Dec 24, 2025",$89.99,$6.13,,,Fixed price,,4
,,"Jan 6, 2026",$89.99,$5.00,,,Fixed price,,5
1996 P Silver American Eagle One Proof Dollar Coin with Box and COA $1 US ASE,315398851472,"Jan 17, 2026",$113.23,$8.33,,,Fixed price,https://www.ebay.com/itm/315398851472,4
,,"Dec 26, 2025",$87.50,$5.40,,,Fixed price,,6
1996-P American Silver Eagle 1 Oz PF70 UCAM NGC Brown Label,363478858384,"Mar 17, 2026",$394.26,$0.00,,,Fixed price,https://www.ebay.com/itm/363478858384,4
,,"Dec 15, 2025",$77.44,$5.72,,,Fixed price,,14
1996 1 oz American Silver Eagle BU,112615725104,"Apr 8, 2026",$170.34,$49.99,,,Fixed price,https://www.ebay.com/itm/112615725104,3
,,"Nov 28, 2025",$69.99,$0.00,,,Fixed price,,3
,,"Oct 24, 2025",$387.00,$0.00,,,Fixed price,,3
1996-Proof American Silver Eagle Coin - W/Org. Pkg. One oz .999 Bullion,157640370947,"Feb 2, 2026",$135.98,$7.90,,,Fixed price,https://www.ebay.com/itm/157640370947,3
1996-P $1 AMERICAN SILVER PROOF EAGLE w/OGP & COA - FREE SHIPPING!,157793583137,"Apr 10, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157793583137,3
1996-P (PF70 Ultra Cameo) Proof American Silver Eagle $1 ASE NGC,187677828840,"Dec 26, 2025",$315.00,$0.00,,,Fixed price,https://www.ebay.com/itm/187677828840,3
,,"Dec 23, 2025",$75.95,$0.00,,,Fixed price,,4
,,"Oct 19, 2025",$77.25,$0.00,,,Fixed price,,4
,,"Oct 21, 2025",$76.95,$0.00,,,Fixed price,,3
,,"Dec 31, 2025",$89.00,$5.42,,,Fixed price,,4
,,"Jan 12, 2026",$12.95,$0.00,,,Fixed price,,4
,,"Dec 11, 2025",$9.99,$0.00,,,Fixed price,,3
,,"Jan 3, 2026",$89.95,$9.23,,,Fixed price,,5
VERY NICE 1996 American Silver Eagle NGC MS-69,392999183989,"Jan 24, 2026",$123.46,$5.17,,,Fixed price,https://www.ebay.com/itm/392999183989,4
,,"Dec 26, 2025",$90.85,$0.00,,,Fixed price,,4
,,"Oct 22, 2025",$73.09,$6.79,,,Fixed price,,10
,,"Dec 27, 2025",$86.25,$0.00,,,Fixed price,,6
1996 1 oz American Silver Eagle Coin - PCGS MS67,406631210317,"Jan 24, 2026",$115.00,$3.90,,,Fixed price,https://www.ebay.com/itm/406631210317,3
,,"Dec 15, 2025",$380.00,$12.80,,,Fixed price,,2
1996 US Liberty One Troy Pound 1lb .999 Silver Proof Eagle Coin. 021211,117039413752,"Apr 12, 2026","$1,439.48",$14.30,,,Fixed price,https://www.ebay.com/itm/117039413752,2
1996 American Silver Eagle Mint State 9.9 NGC X NGCX,127174918522,"Jan 16, 2026",$109.67,$0.00,,,Fixed price,https://www.ebay.com/itm/127174918522,60
,,"Jan 12, 2026",$95.39,$0.00,,,Fixed price,,5
1996 - 1 oz American Silver Eagle Coin - One Troy oz .999 Bullion Key Date,141548597704,"Feb 11, 2026",$102.45,$0.00,,,Fixed price,https://www.ebay.com/itm/141548597704,2
,,"Dec 23, 2025",$81.04,$8.50,,,Fixed price,,13
1996 1 oz American Silver Eagle GEM BU Blast White,157611992433,"Jan 18, 2026",$105.00,$4.86,,,Fixed price,https://www.ebay.com/itm/157611992433,2
,,"Dec 22, 2025",$69.64,$13.36,,,Fixed price,,15
Motorcycle Rider Bell Guardian Bald Eagle USA Biker Hanger Key Ring Stainless,168230613604,"Apr 2, 2026",$15.87,$0.00,,,Fixed price,https://www.ebay.com/itm/168230613604,2
,,"Nov 12, 2025",$67.00,$0.00,,,Fixed price,,2
U.S. Mint American Eagle 1996 1 oz .999 Silver MS67 PCGS (6 available),198079023281,"Feb 4, 2026",$99.00,$10.92,,,Fixed price,https://www.ebay.com/itm/198079023281,6
1996 Silver American Eagle $1 Dollar - Uncirculated - beautiful coins,198122987683,"Feb 26, 2026",$97.00,$3.00,,,Fixed price,https://www.ebay.com/itm/198122987683,2
1996-P $1 Proof American Silver Eagle in Box w/ COA,227051155068,"Jan 24, 2026",$125.00,$8.33,,,Fixed price,https://www.ebay.com/itm/227051155068,2
1996 P American Silver Eagle Dollar Proof ICG PR70 DCAM Black Label,227107555144,"Mar 13, 2026",$275.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227107555144,2
,,"Dec 1, 2025",$109.00,$0.00,,,Fixed price,,2
,,"Dec 2, 2025",$75.95,$0.00,,,Fixed price,,4
,,"Dec 10, 2025",$74.95,$4.84,,,Fixed price,,2
,,"Dec 24, 2025",$89.95,$0.00,,,Fixed price,,5
,,"Dec 26, 2025",$91.99,$0.00,,,Fixed price,,2
,,"Jan 1, 2026",$100.00,$5.15,,,Fixed price,,2
1996 **KEY DATE** .999 AMERICAN SILVER EAGLE COIN FROM FRESH ORIGINAL MINT ROLL,277279952704,"Mar 7, 2026",$164.41,$13.53,,,Fixed price,https://www.ebay.com/itm/277279952704,17
,,"Dec 26, 2025",$80.00,$4.95,,,Fixed price,,2
1996 American Silver Eagle Coin 1oz NGC MS69,277867516968,"Apr 5, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277867516968,2
1996 Silver Eagle-Bullion NGC MS 69 - 1 Troy Ounce Silver,286682023126,"Jan 28, 2026",$145.00,$0.00,,,Fixed price,https://www.ebay.com/itm/286682023126,2
,,"Oct 29, 2025",$59.50,$3.00,,,Fixed price,,2
,,"Dec 10, 2025",$65.50,$6.50,,,Fixed price,,8
1996 $1 American Silver Eagle PCGS MS 69 | Uncirculated UNC,305291913719,"Dec 25, 2025",$99.95,$22.60,,,Fixed price,https://www.ebay.com/itm/305291913719,12
1996 Proof American Silver Eagle – 1 oz Silver Coin in OGP,306360120991,"Oct 19, 2025",$79.95,$0.00,,,Fixed price,https://www.ebay.com/itm/306360120991,2
1996 AMERICAN SILVER EAGLE 1 OZ .999 FINE SILVER,318092384353,"Apr 7, 2026",$89.00,$5.20,,,Fixed price,https://www.ebay.com/itm/318092384353,3
,,"Nov 19, 2025",$80.00,$0.00,,,Fixed price,,2
1996 BU American Silver Eagle Dollar Uncirculated ASE US Mint Bullion $1 Coin,333123715141,"Dec 26, 2025",$84.99,$7.95,,,Fixed price,https://www.ebay.com/itm/333123715141,2
1996 American Eagle Silver uncirculated Dollar in Mint box with COA & OGP,336419440006,"Feb 6, 2026",$180.00,$0.00,,,Fixed price,https://www.ebay.com/itm/336419440006,2
,,"Jan 3, 2026",$82.45,$2.50,,,Fixed price,,2
1996-P Silver Proof American Eagle 1 Oz. ~ Mint w/BOX + COA,375672405823,"Jan 23, 2026",$110.95,$7.90,,,Fixed price,https://www.ebay.com/itm/375672405823,2
,,"Dec 18, 2025",$77.00,$7.24,,,Fixed price,,3
1996 Key Date Silver American Eagle BU 1 oz. Coin US $1 Dollar Uncirculated Mint,383848430145,"Nov 24, 2025",$79.97,$43.86,,,Fixed price,https://www.ebay.com/itm/383848430145,21
,,"Dec 10, 2025",$75.00,$7.43,,,Fixed price,,2
1996 AMERICAN EAGLE SILVER BULLION 1OZ COIN US MINT GIFT BOX SEALED UNOPENED,389530609481,"Jan 26, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389530609481,4
,,"Dec 7, 2025",$71.50,$4.76,,,Fixed price,,2
,,"Dec 25, 2025",$85.00,$1.99,,,Fixed price,,2
,,"Nov 19, 2025",$94.99,$5.13,,,Fixed price,,2
,,"Dec 8, 2025",$80.25,$0.00,,,Fixed price,,4
,,"Jan 12, 2026",$104.92,$8.95,,,Fixed price,,1
,,"Jan 12, 2026",$199.99,$0.00,,,Fixed price,,1
,,"Nov 17, 2025",$63.00,$4.54,,,Fixed price,,1
,,"Dec 17, 2025",$70.00,$5.00,,,Fixed price,,1
,,"Nov 13, 2025",$65.00,$0.00,,,Fixed price,,2
,,"Dec 9, 2025",$68.00,$0.00,,,Fixed price,,1
,,"Dec 15, 2025",$9.99,$7.80,,,Fixed price,,1
