Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
04/00000003 L#3408 1904 S Barber Silver Half Dollar,389828163782,"Apr 3, 2026",$175.00,$0.00,,,Auction,https://www.ebay.com/itm/389828163782
1904-S Barber Half Dollar - Good/Very Good - #10765-2,197926969883,"Apr 2, 2026",$59.95,$4.65,,,Fixed price,https://www.ebay.com/itm/197926969883
1904-S Barber Half Dollar Silver ---- Nice Coin ---- #707N,276369202937,"Apr 1, 2026",$37.20,$3.95,,,Fixed price,https://www.ebay.com/itm/276369202937
(#100786) Barber Half Dollar: 1904 S. NGC good details. Key date!,336484911254,"Mar 29, 2026",$70.99,$5.20,,,Auction,https://www.ebay.com/itm/336484911254
(#102167) Barber Half Dollar: 1904 S. Good Better date!,336484911271,"Mar 29, 2026",$48.99,$5.07,,,Auction,https://www.ebay.com/itm/336484911271
NO RESERVE 1904-S San Francisco Silver Barber Half Dollar 50C ONLY 553K Minted,206157270623,"Mar 28, 2026",$26.00,$5.52,,,Auction,https://www.ebay.com/itm/206157270623
1904-S Barber Half .50. Above Average Very Good.,287136729038,"Mar 28, 2026",$175.00,$0.00,,,Fixed price,https://www.ebay.com/itm/287136729038
"1904-S Barber Silver Half Dollar - Good, Scarce Date San Francisco 50C coin",187890031537,"Mar 27, 2026",$36.00,$4.78,,,Fixed price,https://www.ebay.com/itm/187890031537
1904-S Barber Half Dollar,298151790125,"Mar 27, 2026",$40.00,$3.25,,,Auction,https://www.ebay.com/itm/298151790125
1904-s Barber Half Dollar 50c XF Details Sharp Liberty Rare Date,327069846391,"Mar 27, 2026",$549.00,$0.00,,,Fixed price,https://www.ebay.com/itm/327069846391
1904 S Barber Half Dollar 50c Circulated #60217,188018771327,"Mar 25, 2026",$37.99,$0.00,,,Fixed price,https://www.ebay.com/itm/188018771327
1904-S PCGS G-4 Barber Half Dollar Y and part of LT #3 Combined Shipping,358302804860,"Mar 25, 2026",$79.95,$5.75,,,Fixed price,https://www.ebay.com/itm/358302804860
1904-S Barber Half Dollar VG Key San Francisco Issue,298135250647,"Mar 24, 2026",$90.00,$3.25,,,Auction,https://www.ebay.com/itm/298135250647
1904-S Barber Half Dollar - ANACS VG10 - Low Mintage S-Mint - Cert #7870385,168180744389,"Mar 23, 2026",$300.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168180744389
1904 S Barber Half Dollar 50c Circulated #89385,188018768282,"Mar 23, 2026",$39.89,$0.00,,,Fixed price,https://www.ebay.com/itm/188018768282
1904-S US Barber Half Dollar 50C Silver Coin,177953419373,"Mar 22, 2026",$39.76,$0.00,,,Auction,https://www.ebay.com/itm/177953419373
1904-S Silver Barber Half Dollar PCGS VF Detail Environmental Damage Key Date,267615873861,"Mar 22, 2026","$1,295.00",$14.90,,,Fixed price,https://www.ebay.com/itm/267615873861
1904 **S** BARBER SILVER HALF DOLLAR ***NICE COIN!*** FREE SHIPPING! C1923,157727047157,"Mar 21, 2026",$45.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157727047157
1904 S Barber Half Dollar 50c Circulated Details #64443,188018771271,"Mar 21, 2026",$39.99,$0.00,,,Fixed price,https://www.ebay.com/itm/188018771271
1904 S Barber Half Dollar Free Shipping,366284079824,"Mar 20, 2026",$50.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366284079824
1904 S Barber Half Dollar 50c Circulated #53315,188018771153,"Mar 19, 2026",$39.99,$0.00,,,Fixed price,https://www.ebay.com/itm/188018771153
"1904 Barber Half Dollar ""VF"" *Free S/H After 1st Item*",335405223308,"Mar 18, 2026",$96.57,$4.95,,,Fixed price,https://www.ebay.com/itm/335405223308
"Pair of Better Date Barber Half Dollars, 1896 O & 1904 S",358316144801,"Mar 18, 2026",$49.64,$1.66,,,Auction,https://www.ebay.com/itm/358316144801
1904-S Barber Half Dollar 50c Silver Coin Scarce VG,287191103708,"Mar 16, 2026",$45.00,$5.56,,,Auction,https://www.ebay.com/itm/287191103708
03/00000014 L#474 1904 S Barber Silver Half Dollar,157750482066,"Mar 14, 2026",$115.00,$0.00,,,Auction,https://www.ebay.com/itm/157750482066
1904-S SAN FRANCISCO BARBER HALF DOLLAR PCGS VG-10 NICE COIN,167555705813,"Mar 14, 2026",$289.95,$0.00,,,Fixed price,https://www.ebay.com/itm/167555705813
1901-S & 1904-S BARBER HALF DOLLARS,206118305689,"Mar 14, 2026",$128.95,$5.55,,,Auction,https://www.ebay.com/itm/206118305689
1904-S Barber Half Dollar Silver ---- Nice US Coin ---- #848K,306445009971,"Mar 13, 2026",$71.25,$3.95,,,Fixed price,https://www.ebay.com/itm/306445009971
"1904-S Barber Half Dollar, Good Details",317951347630,"Mar 13, 2026",$45.00,$0.00,,,Auction,https://www.ebay.com/itm/317951347630
,,"Mar 13, 2026",$105.00,$0.00,,,Fixed price,,1
1904 S Barber Silver Half Dollar,147187104398,"Mar 12, 2026",$35.00,$1.40,,,Auction,https://www.ebay.com/itm/147187104398
,,"Mar 12, 2026",$35.00,$1.40,,,Auction,,1
"1904 S Barber Half Dollar, Very Good Condition, Tough, Ryan's Rare Coins, C7862",146460135382,"Mar 11, 2026",$142.45,$0.00,,,Fixed price,https://www.ebay.com/itm/146460135382
1904-S Barber Half Dollar,358287396878,"Mar 11, 2026",$51.00,$3.25,,,Auction,https://www.ebay.com/itm/358287396878
,,"Mar 11, 2026",$142.45,$0.00,,,Fixed price,,1
1904 S Barber Silver Half Dollar,147183049988,"Mar 10, 2026",$28.00,$3.15,,,Auction,https://www.ebay.com/itm/147183049988
1904 S Barber Silver Half Dollar,147183069143,"Mar 10, 2026",$36.00,$5.49,,,Auction,https://www.ebay.com/itm/147183069143
1904 *S* BARBER SILVER HALF DOLLAR ***NICE*** FREE SHIPPING C2154,157739240775,"Mar 10, 2026",$56.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157739240775
03/000010 L#7147 1904 S Barber Silver Half Dollar Coin,157739883108,"Mar 10, 2026",$170.00,$0.00,,,Auction,https://www.ebay.com/itm/157739883108
03/000010 L#7138 1904 S Barber Silver Half Dollar Coin,157739883128,"Mar 10, 2026",$211.00,$0.00,,,Auction,https://www.ebay.com/itm/157739883128
,,"Mar 10, 2026",$28.00,$3.15,,,Auction,,1
,,"Mar 10, 2026",$36.00,$5.49,,,Auction,,1
"1904-S Barber Silver Half Dollar 50C. Better Date only 553,038 Minted..",188115201391,"Mar 9, 2026",$59.95,$5.05,,,Auction,https://www.ebay.com/itm/188115201391
1904-S Barber Half Dollar Scarce!,358279457609,"Mar 9, 2026",$66.00,$3.25,,,Auction,https://www.ebay.com/itm/358279457609
"1904-S Key date Barber half dollar, PCGS VF25 Pleasing & RARE DavidKahnRareCoins",127676982186,"Mar 8, 2026","$1,038.00",$0.00,,,Auction,https://www.ebay.com/itm/127676982186
"1904-S Barber Half Dollar, PCGS VG10",297736298339,"Mar 8, 2026",$300.00,$6.75,,,Fixed price,https://www.ebay.com/itm/297736298339
1904-S Barber Half Dollar Key San Francisco Date,377007530506,"Mar 8, 2026",$55.00,$3.25,,,Auction,https://www.ebay.com/itm/377007530506
,,"Mar 8, 2026","$1,038.00",$0.00,,,Auction,,1
1904-S Rare Date Barber Silver Half Dollar G Details No Reserve Auction!,137091165085,"Mar 6, 2026",$27.00,$5.20,,,Auction,https://www.ebay.com/itm/137091165085
"Jido “Jack”s Scarce 1904 s very lo mintage 553,038! silver half Read Story #6",196741952630,"Mar 6, 2026",$59.00,$8.10,,,Fixed price,https://www.ebay.com/itm/196741952630
"1904-S Barber Half, PCGS VG-10 CAC",306709220953,"Mar 6, 2026",$338.00,$7.00,,,Fixed price,https://www.ebay.com/itm/306709220953
,,"Mar 6, 2026",$27.00,$5.20,,,Auction,,1
1904 S Barber Half Dollar Key Date,126417427766,"Mar 5, 2026",$37.00,$4.75,,,Fixed price,https://www.ebay.com/itm/126417427766,1
1904-S Barber Half Dollar 50c Coin ~ 90% Silver Coin (A129),137075462784,"Mar 5, 2026",$47.00,$3.99,,,Auction,https://www.ebay.com/itm/137075462784,1
,,"Mar 5, 2026",$37.00,$4.75,,,Fixed price,,1
,,"Mar 5, 2026",$47.00,$3.99,,,Auction,,1
1904 S Barber Silver Half Dollar,147152738856,"Feb 20, 2026",$41.00,$0.00,,,Auction,https://www.ebay.com/itm/147152738856,1
,,"Feb 20, 2026",$41.00,$0.00,,,Auction,,1
,,"Feb 15, 2026",$83.00,$0.00,,,Auction,,1
,,"Feb 14, 2026",$123.55,$1.64,,,Auction,,1
,,"Feb 14, 2026",$135.50,$3.95,,,Auction,,1
,,"Feb 6, 2026",$60.00,$0.00,,,Fixed price,,1
,,"Feb 4, 2026",$53.99,$6.00,,,Auction,,1
,,"Feb 1, 2026",$51.99,$3.75,,,Auction,,1
,,"Jan 31, 2026",$62.00,$2.26,,,Auction,,1
,,"Jan 29, 2026",$39.50,$0.00,,,Auction,,1
,,"Jan 28, 2026",$68.88,$5.50,,,Fixed price,,1
,,"Jan 27, 2026",$36.00,$0.50,,,Fixed price,,1
,,"Jan 26, 2026",$33.00,$2.80,,,Auction,,1
,,"Jan 26, 2026",$38.00,$3.21,,,Auction,,1
,,"Jan 20, 2026",$159.00,$7.49,,,Auction,,1
,,"Jan 19, 2026",$37.99,$0.00,,,Fixed price,,1
,,"Jan 18, 2026",$165.00,$5.00,,,Fixed price,,1
,,"Jan 17, 2026",$41.00,$0.00,,,Auction,,1
,,"Jan 11, 2026",$81.00,$3.95,,,Auction,,1
,,"Jan 10, 2026",$38.00,$0.00,,,Fixed price,,1
,,"Jan 9, 2026",$34.00,$5.00,,,Auction,,1
1904 S Barber Silver Half Dollar,146947475123,"Jan 7, 2026",$45.00,$3.99,,,Fixed price,https://www.ebay.com/itm/146947475123,1
,,"Dec 28, 2025",$26.00,$5.00,,,Auction,,1
,,"Dec 27, 2025",$92.00,$0.00,,,Fixed price,,1
,,"Dec 27, 2025",$30.00,$0.00,,,Auction,,1
,,"Dec 27, 2025",$96.00,$0.87,,,Auction,,1
,,"Dec 26, 2025",$34.99,$4.50,,,Auction,,1
,,"Dec 21, 2025",$51.00,$0.00,,,Fixed price,,1
,,"Dec 20, 2025",$152.50,$5.95,,,Auction,,1
,,"Dec 16, 2025",$50.00,$0.00,,,Fixed price,,1
,,"Dec 16, 2025",$76.99,$3.82,,,Auction,,1
,,"Dec 15, 2025",$39.00,$0.00,,,Auction,,1
,,"Dec 13, 2025",$32.01,$0.69,,,Auction,,1
,,"Dec 13, 2025",$24.92,$0.00,,,Auction,,1
[Removed] Item 286929300545,286929300545,"Dec 4, 2025",$45.89,$11.99,,,Fixed price,,6
,,"Nov 29, 2025",$50.00,$0.00,,,Fixed price,,1
,,"Nov 29, 2025",$19.60,$0.00,,,Auction,,1
,,"Nov 23, 2025",$30.00,$4.80,,,Auction,,1
