Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
[Removed] Item 397324524840,397324524840,"Mar 26, 2026",$18.10,$10.35,,,Fixed price,,29
"1921-D Mercury Dime 10c ""Semi-Key Coin"" *PCGS VG8 Very Good* Original Eye Appeal",116762106404,"Mar 25, 2026",$149.95,$0.00,,,Fixed price,https://www.ebay.com/itm/116762106404
1921-D Key Date Mercury Dime Looks Great Free Shipping C,136445337669,"Mar 25, 2026",$80.74,$0.00,,,Fixed price,https://www.ebay.com/itm/136445337669
"About Good, Full Date And Mint Mark 1921-D Mercury Silver Dime",157784405304,"Mar 25, 2026",$50.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157784405304
3PC 1921 D Mercury Dime Low production in the first year As shown in the figure,366292039783,"Mar 25, 2026",$23.60,$7.99,,,Fixed price,https://www.ebay.com/itm/366292039783,2
,,"Mar 25, 2026",$23.60,$7.99,,,Fixed price,,2
,,"Mar 25, 2026",$149.95,$0.00,,,Fixed price,,1
"1921-D Mercury Dime, Key Date Denver AG X-556",396334033045,"Mar 24, 2026",$59.13,$0.00,,,Fixed price,https://www.ebay.com/itm/396334033045
1921-D MERCURY DIME,177946275700,"Mar 24, 2026",$60.00,$0.00,,,Fixed price,https://www.ebay.com/itm/177946275700
1921 D MERCURY DIME PCGS G 04 PROBLEM FREE NATURAL SURFACES IN A PLEASING,137099923319,"Mar 23, 2026",$88.35,$0.00,,,Fixed price,https://www.ebay.com/itm/137099923319
[Removed] Item 287214679548,287214679548,"Mar 23, 2026",$24.99,$0.00,,,Fixed price,,4
3PC 1921-D Mercury Dime Low production in the first year As shown in the figure,406753248227,"Mar 23, 2026",$36.33,$0.00,,,Fixed price,https://www.ebay.com/itm/406753248227,3
,,"Mar 23, 2026",$36.33,$0.00,,,Fixed price,,3
"1921-d Mercury Dime, Semi-Key Date #11264",127757533204,"Mar 21, 2026",$59.99,$4.99,,,Fixed price,https://www.ebay.com/itm/127757533204
1921-D MERCURY SILVER DIME NGC VF20 CAC 03XGC26,137135001784,"Mar 20, 2026",$418.00,$12.99,,,Fixed price,https://www.ebay.com/itm/137135001784
1921-D Mercury Silver Dime,157751578945,"Mar 20, 2026",$334.00,$0.00,,,Auction,https://www.ebay.com/itm/157751578945
1921-D 10C Mercury Dime 90% Silver,168210266932,"Mar 19, 2026",$78.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168210266932
1921-D Mercury Silver Dime,177953166854,"Mar 18, 2026",$45.00,$0.00,,,Fixed price,https://www.ebay.com/itm/177953166854
1921-D Mercury Silver Dime 10c - G/VG - Nice Key Date.,157743128154,"Mar 17, 2026",$75.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157743128154
"1921-D Mercury Dime, Lower Mintage Key Date",167665393922,"Mar 15, 2026",$33.95,$2.95,,,Fixed price,https://www.ebay.com/itm/167665393922
1921-D Mercury Silver Dime FINE+ E175 KPS,147188470193,"Mar 14, 2026",$130.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147188470193
"1921-D Mercury Dime, Avidly Pursued Lower Mintage Key Date",168224173967,"Mar 14, 2026",$55.00,$9.00,,,Fixed price,https://www.ebay.com/itm/168224173967
1921-D MERCURY DIME,177946326885,"Mar 14, 2026",$50.00,$0.00,,,Fixed price,https://www.ebay.com/itm/177946326885
1921-D Mercury Silver Dime,177953197048,"Mar 13, 2026",$55.00,$0.00,,,Fixed price,https://www.ebay.com/itm/177953197048
1921-D Mercury Silver Dime,177953223381,"Mar 13, 2026",$45.00,$0.00,,,Fixed price,https://www.ebay.com/itm/177953223381
1921-D Mercury Silver Dime VG E226 QWMK,147124445174,"Mar 12, 2026",$102.96,$0.00,,,Fixed price,https://www.ebay.com/itm/147124445174
1921 D Mercury Dime Key Date Average Circulated,147185715869,"Mar 11, 2026",$51.00,$8.10,,,Auction,https://www.ebay.com/itm/147185715869
1921-D MERCURY DIME,177946235398,"Mar 11, 2026",$80.00,$0.00,,,Fixed price,https://www.ebay.com/itm/177946235398
1921-D Mercury Silver Dime FINE E206 T,147047903803,"Mar 10, 2026",$110.82,$0.00,,,Fixed price,https://www.ebay.com/itm/147047903803
1921-D Mercury Silver Dime FINE E333 ORIHH,147186713729,"Mar 9, 2026",$167.90,$0.00,,,Fixed price,https://www.ebay.com/itm/147186713729
1921-P & 1921-D MERCURY DIMES RARE Key Dates NGC PCGS F15 VG08,157731876823,"Mar 8, 2026",$238.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157731876823
,,"Mar 8, 2026",$39.00,$0.00,,,Fixed price,
1921-D Mercury Dime G/VG,156940872139,"Mar 6, 2026",$79.00,$0.50,,,Fixed price,https://www.ebay.com/itm/156940872139
[Removed] Item 227223586547,227223586547,"Feb 24, 2026",$27.23,$0.00,,,Fixed price,,4
"1921-D Mercury Dime Denver US Mint American Specie, Fine Condition!",397537559779,"Feb 23, 2026",$29.98,$5.27,,,Fixed price,https://www.ebay.com/itm/397537559779,38
,,"Feb 23, 2026",$29.98,$4.99,,,Fixed price,,34
,,"Feb 19, 2026",$65.00,$0.00,,,Fixed price,,1
,,"Feb 15, 2026",$21.00,$0.00,,,Fixed price,,2
,,"Feb 10, 2026",$27.00,$0.00,,,Fixed price,,3
,,"Feb 10, 2026",$42.00,$0.00,,,Fixed price,,1
,,"Feb 7, 2026",$157.50,$0.00,,,Auction,,1
,,"Feb 3, 2026",$75.00,$0.00,,,Fixed price,,1
,,"Jan 28, 2026",$50.00,$7.95,,,Fixed price,,1
,,"Jan 26, 2026",$38.38,$3.99,,,Fixed price,,17
,,"Jan 26, 2026",$43.32,$3.99,,,Fixed price,,9
,,"Jan 25, 2026",$31.26,$0.00,,,Fixed price,,2
,,"Jan 25, 2026",$12.99,$9.99,,,Fixed price,,2
,,"Jan 22, 2026",$29.00,$0.00,,,Fixed price,,3
,,"Jan 22, 2026",$115.00,$0.00,,,Fixed price,,1
,,"Jan 17, 2026",$70.00,$4.00,,,Fixed price,,1
[Removed] Item 157583140616,157583140616,"Jan 15, 2026",$18.91,$9.99,,,Fixed price,,6
,,"Jan 12, 2026",$35.86,$5.00,,,Fixed price,,7
,,"Jan 12, 2026",$41.00,$5.00,,,Fixed price,,4
,,"Jan 11, 2026",$51.50,$0.00,,,Fixed price,,1
,,"Jan 3, 2026",$14.97,$5.99,,,Fixed price,,14
,,"Jan 3, 2026",$13.49,$5.99,,,Fixed price,,4
,,"Jan 1, 2026",$24.55,$4.99,,,Fixed price,,9
,,"Jan 1, 2026",$24.99,$4.99,,,Fixed price,,3
,,"Dec 30, 2025",$48.00,$5.15,,,Fixed price,,1
,,"Dec 26, 2025",$57.50,$0.00,,,Fixed price,,1
,,"Dec 18, 2025",$21.93,$5.99,,,Fixed price,,3
,,"Dec 18, 2025",$55.00,$0.00,,,Fixed price,,1
,,"Dec 11, 2025",$25.47,$9.99,,,Fixed price,,25
[Removed] Item 317607605693,317607605693,"Dec 6, 2025",$27.79,$0.00,,,Fixed price,,5
[Removed] Item 389062207133,389062207133,"Dec 4, 2025",$29.21,$0.00,,,Fixed price,,2
,,"Nov 30, 2025",$40.95,$5.49,,,Fixed price,,1
,,"Nov 30, 2025",$60.00,$0.00,,,Fixed price,,1
,,"Nov 30, 2025",$47.00,$0.00,,,Auction,,1
